"REPTON (GREENSHOT)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2646/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,3.07,2.56,3.68,2.69,1.45,2.22,1.62,4.48,1.18,2.86,,
February,2.54,1.00,0.60,1.72,2.08,3.71,2.11,1.43,0.59,2.26,,
March,2.87,2.19,1.36,0.09,0.82,0.74,5.07,0.90,1.53,0.86,,
April,1.47,1.10,0.75,2.06,1.42,1.10,1.84,1.58,2.11,2.01,,
May,2.43,3.36,2.97,1.10,2.03,1.74,1.44,1.64,1.67,1.22,,
June,1.09,0.10,1.68,1.72,2.85,2.80,1.44,2.54,0.66,,,
July,4.36,2.21,0.80,2.79,2.08,1.29,3.11,1.65,4.46,,,
August,4.23,3.00,2.20,2.52,1.76,3.87,0.45,4.60,1.37,,,
September,0.22,1.06,1.89,3.07,2.03,3.74,1.52,2.45,1.53,3.61,,
October,2.98,1.98,1.61,1.72,3.69,1.20,0.25,2.00,4.33,0.98,,
November,3.03,1.39,1.37,3.87,0.24,4.45,1.91,1.29,3.11,3.15,,
December,1.03,2.08,0.81,1.49,1.93,2.29,2.46,3.68,1.87,0.78,,
Total,29.32,22.03,19.72,24.84,22.38,29.15,23.22,28.24,24.41,,,
Calc annual,29.32,22.03,19.72,24.84,22.38,29.15,23.22,28.24,24.41,17.73,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
