REPTON-GREENSHOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK302267,Long,-1.5531364,Lat,52.836975,Elevation,230,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2646/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,3.07,2.56,3.68,2.69,1.45,2.22,1.62,4.48,1.18,2.86,2.34,1.88,0.96,1.3,2.53,2.92,1.35,2.23,3.14,5.17
February,,,,,,,,,,,2.54,1,0.6,1.72,2.08,3.71,2.11,1.43,0.59,2.26,2.52,1,1.31,2.12,2.07,0.43,1.87,3.64,0.21,1.64
March,,,,,,,,,,1.86,2.87,2.19,1.36,0.09,,0.74,5.07,0.9,1.53,0.86,3.58,2.45,1.21,1.83,2.74,1.17,1.86,1.39,1.56,1.36
April,,,,,,,,,,1.68,1.47,1.1,0.75,2.06,1.42,1.1,1.84,1.58,2.11,2.01,1.52,,1.79,0.37,1.1,0.87,0.14,0.75,2.4,0.74
May,,,,,,,,,,1.11,2.43,3.36,2.97,1.1,2.03,,1.44,,1.67,1.22,2.59,2.86,2.05,3.01,3.37,0.6,0.78,1.79,0.36,1.16
June,,,,,,,,,,1.01,1.09,,1.68,1.72,2.85,2.8,1.44,,0.66,,0.72,2.88,2.92,3.26,3.45,3.15,1.53,4.82,0.59,3.61
July,,,,,,,,,,2.27,4.36,2.21,0.8,2.79,2.08,1.29,3.11,1.65,4.46,,0.68,1.24,2.82,2.36,1.83,2,3.91,3.73,1.7,2.96
August,,,,,,,,,,0.3,4.23,3,2.2,2.52,1.76,3.87,0.45,4.6,1.37,,5.84,1.43,2.63,3.98,0.5,4.87,2.54,1.4,0.56,3.86
September,,,,,,,,,,0.53,0.22,1.06,1.89,3.07,2.03,3.74,1.52,2.45,1.53,3.61,1.35,1.05,2.1,2.1,1.18,1.58,5.53,2.4,0.05,4
October,,,,,,,,,,4.07,2.98,1.98,1.61,1.72,3.69,1.2,0.25,2,4.33,0.98,0.7,2.7,2.2,3.14,1.68,0.98,1.1,2.04,2,5.61
November,,,,,,,,,,5.66,3.03,1.39,1.37,3.87,,4.45,1.91,1.29,3.11,3.15,4.65,1.21,1.48,4.21,2.24,1.18,1.39,1.61,3.03,3.17
December,,,,,,,,,,1.92,1.03,2.08,0.81,1.49,1.93,2.29,2.46,3.68,1.87,0.78,1.58,,0.84,2.93,1.69,2.54,1.66,2.95,3.26,3.81
Total,,,,,,,,,,,29.32,,19.72,24.84,,,23.22,,24.41,,28.07,,22.31,30.61,24.38,22.29,23.66,28.75,18.86,37.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 3218 REPTON Start 1940 end 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from 1950s record. Altitudes match. Modern day Greenshot is on Chestnut Way, which is 150m SW.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1941 estimated for snow but reading left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
