FLEET-CLAREMONT-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU808542,Long,-0.84289,Lat,51.28123,Elevation,280,ft,,,,,,,,,,,,
Station no,RR8732,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,3.39,4.22,2.93,0.94,1.24,3.61,2.57,,,,,,,,
February,,,,,,4.45,0.47,0.95,0.97,1.98,1.03,0.05,,,,,,,,
March,,,,,,2.73,1.9,2.16,3.61,2.63,1.57,1.83,,,,,,,,
April,,,,,,1.85,2.11,1.62,1.95,2.24,1.97,0.78,,,,,,,,
May,,,,,,5.08,3.97,1.91,1.78,2.66,2.86,3.98,,,,,,,,
June,,,,,,2,0.77,1.28,2.33,0.74,2.93,0.97,,,,,,,,
July,,,,,,0.58,1.92,0.71,7.12,2.71,3.7,3.55,,,,,,,,
August,,,,,2.43,0.56,0.84,3.21,1.86,1.79,3.2,3.95,,,,,,,,
September,,,,,2.45,5.85,1.96,2.27,1.23,1.02,0.73,1.6,,,,,,,,
October,,,,,1.14,5.16,5.96,2.12,2.03,4.83,1.2,7.94,,,,,,,,
November,,,,,1.94,3.91,3.77,4.99,4.92,1.01,2.07,2.77,,,,,,,,
December,,,,,2.94,1.57,5.34,1.92,1.77,1.48,0.74,4.48,,,,,,,,
Total,,,,,,37.13,33.23,26.07,30.51,24.33,25.61,34.47,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Claremont House Fleet Road,,,,,,,,,,,,,,,,,,,,
Unable to locate the house closer than between Church Rd and Reading Rd,,,,,,,,,,,,,,,,,,,,
Elevation suggests on north side,,,,,,,,,,,,,,,,,,,,
Note says Too big (Hants map 08),,,,,,,,,,,,,,,,,,,,
