CARDIFF ELY PUMPING STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST141765,Long,-3.238385,Lat,51.480909,Elevation,53,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,
January,,,,,,,,,,3.48,5.91,2.13,3.8,4.22,2.53,3.83,5.55,4.64,5.43,5.61,3.77,3.36,7.51,5.35,5.69,6.52,2.27,5.95,2.01,4.69,0.85,0.78,3.16,5.64,6.35,3.47,5.44,3.28,1.99,1.89,5.89,3.91,2.54,2.46,3.45,4.84,1.25,2.26,2.07,6.64,5.78,2.3,2.24,5.65,5.37,1.64,7.57,2.79,2.73,2.06,5.65,1.9,5.45,7.76,2.11,4.1,3.5,1.36,4.78,5.74,6.17,5.11,4.55,2.82,5.91,4.38,6.74,4.98,9.51,1.81,6.22,3.41,5.6,2.62,3.43,0.89,4.15,,,,,,,,,,,,,
February,,,,,,,,,,2.01,1.52,3.1,0.5,1.88,1.44,4.01,5.06,3.73,2.5,4.01,2.91,2.97,4.65,1.26,3.03,2.82,6.2,3.4,3.26,6.1,4.68,5.12,2.88,3.93,4.63,4.19,1.9,1.48,0.92,2.22,0.62,0.05,2.48,5.86,4.06,0.19,1.05,4.79,2.37,3.99,6.19,1.09,1.82,2.51,6.21,1.17,4.12,1.78,2.53,0.68,5.5,4.56,3.23,1.45,3.81,5.48,5.88,1.56,2.04,4.52,1.62,0.06,4.73,8.79,0.71,6.27,3.27,3.57,5.27,1.6,0.74,3.23,0.02,5.04,0.59,3.55,1.7,,,,,,,,,,,,,
March,,,,,,,,,,4.03,3.23,4.1,4.05,1.76,3.69,0.88,2.74,3.73,2.65,1.58,2.54,2.16,3.57,4.46,2.49,1.59,4.58,2.97,1.4,1.13,1.98,4.13,1.37,0.63,3.87,2.17,4.25,2.57,5.02,3.85,1.75,1.9,0.96,0.41,4.31,4.65,5.25,4.39,1.55,1.67,1.12,2.1,2.86,5.75,2.73,5.99,3.12,1.71,3.11,4.25,1.24,2.4,6.96,5.89,7.06,1.44,3.71,3.04,2.88,5.97,4.4,3.21,3.79,2.1,1.91,0.44,0.81,4.21,4.61,0.59,2.49,0.93,1.87,3.35,2.2,1.09,3.88,,,,,,,,,,,,,
April,,,,,,,,,,5.11,2.64,0.84,3.94,1.61,1.43,1.12,1.58,4.24,2.2,1.66,0.16,5.2,1.99,0.31,1.8,2.68,2.09,2.94,3.53,2.72,2.02,1.87,6.09,0.89,1.58,2.6,3,1.46,1.39,3.19,2.12,2.25,1.74,0.2,2.22,2.32,1.01,4.3,1.51,5.09,1.95,4.54,2.26,2.32,2.28,2.72,1.38,3.78,2.7,2.66,3.31,3.05,0.42,5.53,2.89,1.79,1.96,2.16,2.17,2.13,4.95,0.84,3.47,3.68,3.4,2.78,2.22,1.95,1.53,0.65,2.41,2.97,4,1.72,2.74,5.05,3.02,,,,,,,,,,,,,
May,,,,,,,,,,3.43,5.57,0.6,3.68,2.32,0.72,2.71,0.9,3.57,2.07,4.8,2.93,0.97,2.18,2.8,1.35,3.39,0.27,3.37,5.33,3.42,1.2,2.83,2.26,2.01,2.79,3.77,6.57,2.23,1.99,2.86,2.1,5.18,1.5,2.84,2.45,0.48,0.14,1.3,3.29,2.84,1.87,0.95,2.46,3.02,3.04,0.13,5.06,2.83,1.93,1.88,3.36,1.5,1.86,3.16,2.32,2.62,4.01,3.36,1.43,0.89,3.85,1.95,1.45,2.58,4.38,4.77,2.47,1.66,0.5,3.44,1.54,7.29,4.34,1.75,1.57,1.17,1.94,,,,,,,,,,,,,
June,,,,,,,,,,3.16,8.2,6.07,4.82,4.28,2.33,2.15,3.32,0.63,0.39,0.99,0.66,1.76,3.96,2.84,1.58,5.97,1.69,1.63,3.57,6.97,2.7,3.69,4.02,3.31,2.28,2.88,0.75,0.74,3.6,0.33,2.97,2.08,2,0.72,2.86,1.24,2.64,3.13,1.99,1.41,2.16,2.98,2.71,2.09,1.45,4.12,2.33,3.91,0.36,2.18,4.53,2.13,7.51,2.14,2.49,1.25,4.28,2.71,1.87,1.42,3.22,0.06,1.21,0.87,3.02,0.06,1.8,3.48,2.45,2.31,0.73,3.58,1.55,1.47,1.56,3.68,3.38,,,,,,,,,,,,,
July,,,,,,,,,,1.69,2.54,7.53,3.05,0.72,1.11,3.94,2.48,3.37,0.34,1.06,2.27,5.38,5.53,4.36,2.2,7.21,0.79,4.42,1.45,4.54,5.58,2.62,5.18,3.56,5.12,0.89,4.31,1.63,7.52,4.23,3.47,2.41,3.64,3.55,4.42,4.76,1.64,1.41,0.69,0.81,1.78,3.57,1.98,4.58,5.12,1.69,0.97,2.66,3.02,3.06,3.05,0.45,3.48,0.51,6.5,4.75,2.43,2.52,5.54,1.77,5.92,1,5.19,2.27,5.91,4.13,2.27,4.38,2.1,2.21,3.04,4.41,4.1,2.22,1.13,0.58,7.3,,,,,,,,,,,,,
August,,,,,,,,,,5.99,8.37,3.25,3.53,5.07,1.58,4.85,3.32,1.55,5.7,1.06,3.11,3.6,4.13,4.98,4.98,3.2,6.24,6.62,8.17,8.23,0.56,5.85,7.26,2.68,3.02,2.79,2.06,2.91,4.26,4.68,3.78,8.23,4.78,3.53,4.96,4.38,3,7.97,3.64,1.79,4.32,4.9,3.95,6,3.47,4.33,3.47,3.89,6.89,3.19,5.99,2.11,9.92,1.63,3.83,1.66,3.15,7.9,3.61,2.68,2.73,3.22,4.16,4.91,6.09,6.26,3.9,5.37,4.06,3.21,5.88,4.24,1.16,1.6,3.86,2.3,1.16,,,,,,,,,,,,,
September,,,,,,,,,,7.59,3.69,4.81,4.08,5.26,4.66,,12.17,2.11,4.77,6.07,3.12,6.59,4.3,3.19,6.05,4.69,8.48,3.44,3.3,4.8,4.45,2.45,3.65,6.8,2.17,6.25,3.49,4.9,1.12,2.11,1.15,2.76,4.6,2.64,2.32,1.29,9.67,5.91,2.57,3.94,1.44,3.65,2.67,4.34,4.03,1.88,1.2,0.81,3.48,3.67,0.15,2.5,0.93,3.87,3.09,1.1,3.16,2.77,10.49,2.64,3.05,3.5,3.83,4.02,6.74,5.36,2.02,7.58,0.89,0.45,4.56,1.93,5.13,1.9,3.7,8.29,3.11,,,,,,,,,,,,,
October,,,,,,,,,,4.5,4.55,3.02,8.46,7.39,2.91,8.16,3.13,5.86,4.62,4.16,7.17,4.62,5.76,5.32,4.94,8.03,4.37,5.09,5.48,1.51,5.25,3.63,8.56,4.55,1.34,6.15,6.76,3.01,1.92,4.21,2.15,8.19,2.47,6.94,5.72,4.7,4.77,1.91,6.5,3.29,5.81,2.53,3.57,11.37,2.69,2.76,7.67,7.33,3.42,7.24,5.01,3.96,5.44,5.24,2.5,4.69,8.98,7.06,2.67,2.47,3.65,2.05,1.73,6.81,6.36,6,4.31,4.08,7.22,6.32,5.32,0.68,6.64,4.92,3.3,6.26,1.96,,,,,,,,,,,,,
