CARDIFF (ELY PUMPING STATION),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4057,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,6.17,5.11,4.55,2.82,5.91,4.38,6.74,4.98,9.51,1.81,6.22,
February,1.62,0.06,4.73,8.79,0.71,6.27,3.27,3.57,5.27,1.60,0.74,
March,4.40,3.21,3.79,2.10,1.91,0.44,0.81,4.21,4.61,0.59,2.49,
April,4.95,0.84,3.47,3.68,3.40,2.78,2.22,1.95,1.53,0.65,2.41,
May,3.85,1.95,1.45,2.58,4.38,4.77,2.47,1.66,0.50,3.44,1.54,
June,3.22,0.06,1.21,0.87,3.02,0.06,1.80,3.48,2.45,2.31,0.73,
July,5.92,1.00,5.19,2.27,5.91,4.13,2.27,4.38,2.10,2.21,3.04,
August,2.73,3.22,4.16,4.91,6.09,6.26,3.90,5.37,4.06,3.21,5.88,
September,3.05,3.50,3.83,4.02,6.74,5.36,2.02,7.58,0.89,0.45,4.56,
October,3.65,2.05,1.73,6.81,6.36,6.00,4.31,4.08,7.22,6.32,5.32,
November,2.87,3.38,2.35,3.64,3.75,2.68,8.84,5.90,4.98,10.99,4.94,
December,5.14,2.70,7.89,4.16,6.47,4.13,0.46,3.02,5.19,8.39,4.35,
Total,47.57,27.08,44.35,46.65,54.65,47.26,39.11,50.18,48.31,41.97,42.22,
Calc annual,47.57,27.08,44.35,46.65,54.65,47.26,39.11,50.18,48.31,41.97,42.22,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
