"CARRICKFERGUS (KNOCKAGH)",,,,,,,,,,,,
Grid ref,IJ364880,Long,-5.883576,Lat,54.721660,,,,,,,
Station no,6291/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.26,3.92,1.38,3.96,4.49,3.94,4.73,5.17,3.96,5.05,,
February,3.10,1.01,1.17,4.07,5.05,1.47,2.76,5.57,1.20,4.26,,
March,3.65,2.03,0.41,4.44,1.67,1.84,4.27,2.79,3.13,3.33,,
April,1.51,2.39,2.73,1.22,2.69,1.65,1.50,2.39,2.74,3.83,,
May,2.99,1.08,2.31,4.63,3.53,1.73,2.74,3.28,1.41,2.28,,
June,1.89,3.04,1.95,4.09,5.63,3.51,1.80,5.92,2.54,2.57,,
July,3.32,2.46,6.34,5.20,1.55,3.91,4.14,5.90,3.98,8.08,,
August,4.47,5.51,3.68,3.35,1.43,7.66,4.56,5.35,1.50,4.76,,
September,3.13,2.35,3.25,5.09,5.06,4.21,7.84,4.63,1.95,3.31,,
October,1.03,4.66,2.21,7.48,3.51,2.94,4.10,2.55,4.30,6.51,,
November,8.01,3.44,4.30,6.88,3.15,1.87,2.52,2.12,4.04,5.18,,
December,5.76,4.55,3.67,6.08,6.49,4.81,4.56,5.98,6.85,3.14,,
Total,42.12,36.44,33.40,56.49,44.25,39.54,45.52,51.65,37.60,52.30,,
Calc annual,42.12,36.44,33.40,56.49,44.25,39.54,45.52,51.65,37.60,52.30,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
