CARRICKFERGUS (KNOCKAGH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ364880,Long,-5.883576,Lat,54.72166,Elevation,723,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6219/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.87,3.38,2.62,6.01,5.93,4.01,4.63,5.16,4.34,7.77,3.45,2.14,3.26,3.92,1.38,3.96,4.49,3.94,4.73,5.17,3.96,5.05
February,,,,,,,,,3.77,3.07,2.98,2.17,1.87,1.28,3.99,3.17,1.27,2.42,2.4,4,3.1,1.01,1.17,4.07,5.05,1.47,2.76,5.57,1.2,4.26
March,,,,,,,,,5.14,4.2,3.98,2.62,0.75,0.84,1.84,2.03,5.45,2.23,3.04,1.81,3.65,2.03,0.41,4.44,1.67,1.84,4.27,2.79,3.13,3.33
April,,,,,,,,,3.27,4.07,2.16,1.98,2.7,2.79,2.18,1.03,4.07,2.35,3.11,4.5,1.51,2.39,2.73,1.22,2.69,1.65,1.5,2.39,2.74,3.83
May,,,,,,,,,1,3.1,2.6,3.97,4.38,2.14,4.62,1.33,4.42,1.88,2.51,1.86,2.99,1.08,2.31,4.63,3.53,1.73,2.74,3.28,1.41,2.28
June,,,,,,,,,2.63,1.64,0.6,0.68,4.16,3.04,4.97,4.43,4.76,6.18,0.8,2.3,1.89,3.04,1.95,4.09,5.63,3.51,1.8,5.92,2.54,2.57
July,,,,,,,,,5.78,6,5.07,5.15,2.54,5.87,4.76,4.03,4.26,3.17,3.29,6.26,3.32,2.46,6.34,5.2,1.55,3.91,4.14,5.9,3.98,8.08
August,,,,,,,,,1.98,1.35,5.53,7.24,7.77,2.6,1.96,5.74,0.28,5.66,4.13,6.64,4.47,5.51,3.68,3.35,1.43,7.66,4.56,5.35,1.5,4.76
September,,,,,,,,,3.11,2.78,1.97,6.02,3.76,7.18,4.01,6.53,3.4,5.25,3.18,6.77,3.13,2.35,3.25,5.09,5.06,4.21,7.84,4.63,1.95,3.31
October,,,,,,,,,2.8,6.05,6.57,3.96,3.66,5.78,4.19,1.97,2.26,4.45,8.67,3.19,1.03,4.66,2.21,7.48,3.51,2.94,4.1,2.55,4.3,6.51
November,,,,,,,,,4.82,6.05,4.48,0.97,2.79,5.31,1.65,5.37,6.02,2.88,5.19,3.57,8.01,3.44,4.3,6.88,3.15,1.87,2.52,2.12,4.04,5.18
December,,,,,,,,,3.95,4.48,1.48,4.88,2.32,4.08,5.42,3.71,2.95,5.5,5.12,3.23,5.76,4.55,3.67,6.08,6.49,4.81,4.56,5.98,6.85,3.14
Total,,,,,,,,,44.12,46.17,40.04,45.65,42.63,44.92,44.22,44.5,43.48,49.74,44.89,46.27,42.12,36.44,33.4,56.49,44.25,39.54,45.52,51.65,37.6,52.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16361,KNOCKAGH,01/01/1939,31/12/1989,,,,,,,,,,,,,,,,,,,,,,,,,,,
