SHERE-THE-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ069478,Long,-0.47004,Lat,51.21952,Elevation,255,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,2.69,3.56,1.78,2.83,2.73,4.47,2.65,4.34,1.29,4.83,1.58,3,2.41,2.17,1.18,5.79,6.35,3.26,5.88,2.92,2.92,3.91,6.25,2.18,2.57,,,4.76,,
February,,0.5,2.68,5.33,0.73,4.85,2.66,5.29,2.99,0.75,0.8,1.42,1.22,4.51,0.19,4.38,2.24,4.74,0.85,1.62,2.91,3.44,1,2.04,0.83,2.06,,,2.36,,
March,,1.47,2.6,2.92,1.44,0.61,0.33,3.83,4.46,0.03,1.8,0.33,1.04,3.62,2.7,0.33,1.72,4.4,0.35,1.68,3.77,3.84,2.01,0.44,0.2,1.58,,,0.85,1.1,
April,,2.26,3.5,2.76,4.24,2.48,3.54,2,2.42,0.98,2.02,4.63,3,0.78,2.46,3.5,2.17,3.11,0.11,3.48,1.9,2.07,2.01,1.18,1.28,1.26,,,1.62,1.89,
May,,2.29,0.99,3.3,3.41,3.37,1.71,1.22,2.03,2.11,2.67,2.58,4.24,3.01,0.6,1.71,1.62,2.85,1.59,2.27,1.25,2.27,3.73,2.95,0.79,1.66,,,2.45,2.05,
June,,0.2,1.38,0.34,2.73,0.2,3.35,3.44,2.55,1.67,0.47,1.08,1.76,1.99,1,3.93,3.76,1.6,0.64,1.53,0.64,2.96,0.2,1.69,1.78,2.62,,,3.93,0.58,
July,,0.25,4.5,2.07,4.75,5.29,1.56,2.96,2.08,1.66,2.92,3.51,3.3,2.17,2.64,0.85,4.24,1.05,2.8,3.53,3.05,3.08,2.15,2.27,1.84,3.88,,,1.34,1.29,
August,,1.44,2.78,2.5,3.31,3,2.19,4.32,2.14,1.73,4.09,4.12,1.15,1.13,2.42,3.69,0.57,0.94,1.28,2.43,0.17,4.32,3.07,1.42,2.22,2.05,,,4.33,1.78,
September,,1.02,1.96,1.8,4.42,3.35,0.96,5.83,1.37,0.15,3.79,2.4,2.33,2.35,2.25,4.36,2.13,1.89,2.14,0.79,1.67,0.37,2.16,1.91,2.5,2.53,,,1.78,0.66,
October,,0.55,1.32,6.3,3.86,3.33,2.46,2.16,6.5,2.84,1.26,0.7,5.8,2.18,2.32,4.44,2.22,3,3.36,5.89,4.14,1.37,3.79,3.82,4.68,3.52,,0.36,1.14,8.31,
November,,1.6,1.84,1.89,3.59,2.81,6.61,3.97,2.7,7.74,4.48,3.35,1.34,1.45,3.36,7.16,4.4,2.22,5.21,5.54,8.33,3.66,1.9,1.63,4.62,0.28,,1.17,1.59,,
December,,1.88,4.83,2.98,4.83,3.52,0.35,5.44,2.55,7.91,2.26,0.45,0.85,0.43,7.98,4.1,3.66,5.2,5.32,1.73,1.69,2.16,3.99,2.32,2.74,4.18,,3.13,6.49,1.76,
Total,,16.15,31.94,33.97,40.14,35.54,30.19,43.11,36.13,28.86,31.39,26.15,29.03,26.03,30.09,39.63,34.52,37.35,26.91,36.37,32.44,32.46,29.92,27.92,25.66,28.19,,,32.64,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 Dec Estimated for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 No return Measure broken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Jan Feb Nov Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Moved to Wimborne Dorset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
