Rainfall at,OLDHAM GAS WORKS
,
Station no,2842,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,4.92,6.60,4.62,3.98,5.37,3.34,6.86,4.00,9.46,1.77,5.24,
February,4.57,0.37,5.79,5.37,1.03,6.87,5.13,1.27,5.58,0.89,0.58,
March,3.80,2.84,2.81,2.22,1.92,2.23,1.66,4.37,2.24,1.29,3.24,
April,4.19,1.43,2.03,3.42,2.05,2.21,1.95,2.80,0.76,1.29,3.40,
May,5.37,2.41,1.85,3.39,7.34,3.99,4.80,1.60,1.16,3.12,2.31,
June,2.68,0.42,3.14,1.02,3.56,0.06,4.09,4.68,6.39,1.58,2.73,
July,7.99,1.76,4.94,6.22,3.61,2.25,2.98,4.68,1.88,2.64,7.58,
August,2.67,5.46,5.23,4.86,6.18,3.75,6.09,5.53,5.54,5.12,6.64,
September,2.67,0.89,4.00,3.98,3.91,4.30,3.59,6.15,0.91,2.17,4.15,
October,1.10,2.82,0.93,4.94,5.29,6.04,3.38,3.87,3.90,5.67,5.81,
November,1.47,2.34,4.48,9.39,2.41,4.15,5.20,4.15,6.17,7.72,5.46,
December,3.02,7.83,5.16,7.65,6.71,4.36,1.45,1.54,2.53,6.51,2.93,
Total,44.45,35.17,44.98,56.44,49.38,43.55,47.18,44.64,46.52,39.77,50.07,
Calc annual,44.45,35.17,44.98,56.44,49.38,43.55,47.18,44.64,46.52,39.77,50.07,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
