CROMARTY HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 79288 66993,Long,-4.0257517,Lat,57.676551,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,2.83,0.74,1.17,,3.2,2,3.24,2.05,3.11,1.44,3.16,2.82,2.02,2.48,1.69,2.3,1.82,2.72,3.43,0.54,1.48,1.86,,,,,,,,,
February,0.97,2.54,2.02,,1.71,1.41,3.25,0.51,1.96,1.46,2.77,0.51,2.13,1.88,0.62,3.15,1.83,0.9,2,0.45,0.5,2.62,,,,,,,,,
March,0.77,1.27,1.95,,2.52,1.57,1.7,1.65,0.86,1.57,1.68,2.01,1.73,0.56,1.36,1.41,2.72,1.51,1.67,0.27,0.76,1.29,,,,,,,,,
April,4.46,1.62,1.68,,0.64,2.72,1.29,1.58,1.06,2.61,1.56,0.39,2.33,2.89,0.56,1.27,1.84,1.64,0.91,0.95,0.99,1.82,,,,,,,,,
May,1.21,2.05,2.08,,2.55,0.87,3.68,2.08,2.11,0.35,1.76,3.78,2.44,2.93,3.66,2.25,2.05,1.66,2.22,2.32,1.61,1.86,,,,,,,,,
June,1.47,2.63,3.72,,1.36,0.69,4.04,3.04,1.67,1.93,0.65,0.81,1.05,0.75,1.8,0.88,2.3,2.44,2.75,2.17,1.61,3.73,,,,,,,,,
July,4.53,2.47,1.52,,2.25,3.11,4.06,0.94,6.84,0.67,2.48,2.57,3.04,1.96,3.32,2.64,1.31,2.11,1.67,1.55,1.57,4.05,,,,,,,,,
August,3.43,1.01,3.73,,2.01,1.17,1.93,5.07,2.6,2.59,2.41,2.14,2.06,5.15,4.16,1.07,1.77,1.86,2.74,3.42,4.41,1.64,,,,,,,,,
September,0.79,1.5,0.98,,0.89,4.93,0.99,2.16,3.45,2.18,2.5,1.25,1.96,1.75,4.84,2.87,2.03,5.02,2.35,1.9,2.11,1.35,,,,,,,,,
October,0.49,2.93,2.34,,1.2,1.42,4.69,4,2.02,2.57,0.98,1.66,1.59,3.14,2.79,1.77,3.8,4.4,2.2,3.87,2.5,1.4,,,,,,,,,
November,3.78,5.33,1.92,,4.32,2.65,1.68,4.1,1.84,3.88,2.32,0.96,1.06,1.95,1.15,0.69,2.53,2.28,3.15,1.97,3.8,1.63,,,,,,,,,
December,1.57,1.68,3.05,,2.85,4.11,1.75,1.67,3.09,2.98,1.63,2.62,1.6,1.9,3.09,2.6,1.41,1.35,2.2,1.88,1.98,1.25,,,,,,,,,
Total,26.3,25.77,26.16,,25.5,26.65,32.3,28.85,30.61,24.23,23.9,21.52,23.01,27.34,29.04,22.9,25.41,27.89,27.29,21.29,23.32,24.5,,,,,,,,,
