EAST-LISS-THE-LODGE-(BERRY-GROVE-NEW-GAUGE),,,,,,,,,,,,,,,,,,,,,
Grid ref,SU770287,Long,-0.90281,Lat,51.05293,Elevation,230,ft,,,,,,,,,,,,,
Station no,RR7694,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,6.12,4.85,3.81,5.3,1.93,3.06,4.64,5.99,2.65,6.46,,
February,,,,,,,,,,3.04,0.52,0.15,3.77,6.23,0.41,5.76,2.53,5.34,2.18,,
March,,,,,,,,,,5.62,2.47,1.63,2.77,1.93,1.82,0.67,0.8,4.39,2.6,,
April,,,,,,,,,,2.78,3.64,1.1,3.92,3.73,3.76,2.82,2.86,2.38,1.84,,
May,,,,,,,,,,0.44,1.24,2.17,0.71,2.37,3.69,4.64,3.05,1.08,2.16,,
June,,,,,,,,,,0.73,1.63,0.19,1.62,0.28,3.66,0,2.4,2.86,2.6,,
July,,,,,,,,,,2.05,5.84,0.23,4.66,1.03,3.88,3.69,2.46,3.11,1.41,,
August,,,,,,,,,,3.61,1.88,3.79,2.97,3.41,3.37,3.88,1.29,3.97,2.48,,
September,,,,,,,,,,1.76,2.16,1.02,1.64,1.63,5,3.65,0.73,6.98,,,
October,,,,,,,,,1.67,0.58,4.09,0.88,1.14,6.71,4.21,4.73,2.41,2.67,,,
November,,,,,,,,,3.26,2.79,1.8,2.31,2.17,1.9,2.99,2.79,7.23,4.2,,,
December,,,,,,,,,3.05,6.74,3.89,2.3,5.42,3.75,5.86,3.74,0.22,5.67,,,
Total,,,,,,,,,,36.26,34.01,19.58,36.09,34.9,41.71,41.01,31.97,45.3,,,
,,,,,,,,,,,,,,,,,,,,,
1918 Oct Gauge moved 24 miles S,,,,,,,,,,,,,,,,,,,,,
1921 Gauge moved Jan 5 30yds S,,,,,,,,,,,,,,,,,,,,,
1928 Gauge to Horsell Surrey,,,,,,,,,,,,,,,,,,,,,
