EAST-LISS-THE-LODGE-(BERRY-GROVE),,,,,,,,,,,,
Grid ref,SU770287,Long,-0.90281,Lat,51.05293,Elevation,250,ft,,,,
Station no,RR7694,,,,,,,,,,,
,,,,,,,,,,,,
,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912
January,,1.43,3.41,6.03,1.05,7.22,1.04,2.35,1.3,3.81,1.54,4.18
February,,2.08,2.2,4.91,0.88,3.76,1.68,1.31,0.61,4.99,2.08,3.27
March,,2.83,4.58,1.78,5.14,1.58,1.28,3.56,5.33,1.46,2.47,5.79
April,,2.01,2.85,1.66,1.57,0.76,4.8,2.74,1.94,2.56,2.4,0.12
May,0.86,3.25,3.61,3.89,0.73,2.48,2.48,2.41,2.85,2.31,3.71,1.81
June,2.35,3.86,3.5,0.96,6.55,2.28,3.31,0.92,3.41,2.92,2.26,4.37
July,2.54,1.32,3.56,1.82,1.13,0.5,2.1,2.95,3.37,3.4,0.95,2.6
August,1.88,4.62,5.46,3,3.36,0.94,3.1,5.87,2.51,4.02,1.52,7.26
September,2.23,1.33,3.06,2.4,2.66,2.79,0.76,2.52,2.66,0.3,1.57,4.07
October,4.12,2.82,10.4,3.03,1.87,6.15,7.99,2.9,8.03,4.36,5.51,4.75
November,0.95,4.38,2.44,1.45,4.71,5.65,2.9,1.52,0.83,4.72,5.16,2.12
December,6.49,2.27,3.71,3.44,0.84,2.47,4.21,4.25,5.04,6.44,11.28,
Total,,32.2,48.78,34.37,30.49,36.58,35.65,33.3,37.88,41.29,40.45,
,,,,,,,,,,,,
1901 Apr 23 Gauge moved 2 miles W,,,,,,,,,,,,
1902 July Gauge moved 30ft S,,,,,,,,,,,,
1912 Dec Gauge moved to The Lodge E Liss,,,,,,,,,,,,
