EAST-LISS-THE-LODGE-(HILL-BROW),,,,,,,,,,,,
Grid ref,SU789265,Long,-0.87535,Lat,51.03255,Elevation,500,ft,,,,
Station no,RR7694,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901
January,,,,,,,,,0.71,3.73,4.94,2.09
February,,,,,,,,,1.56,4.04,6.47,2.6
March,,,,,,,,,1.1,1.09,1.12,3.25
April,,,,,,,,,1.76,3.74,1.49,
May,,,,,,,,,4.34,2.07,1.89,
June,,,,,,,,,2.44,1.48,3.89,
July,,,,,,,,,0.52,2.5,1.5,
August,,,,,,,,,2.19,0.64,3.49,
September,,,,,,,,,1.72,4.69,1.03,
October,,,,,,,,,5,5.05,3.97,
November,,,,,,,,,4.41,4,3.64,
December,,,,,,,,,4.37,2.49,5.58,
Total,,,,,,,,,30.12,35.52,39.01,
,,,,,,,,,,,,
Thornbury House,,,,,,,,,,,,
1901 Apr 23 Gauge moved 2 miles W to Berry Grove,,,,,,,,,,,,
