OULART WELLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IT1235043230,Long,-6.34501,Lat,52.52914,Elevation,207,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,1.22,1.98,0.69,4.5,5.62,5.18,1.5,3.25,3.76,4.98,,3.94,1.5,5.61,4.11,1.5,4.61,0.56,2.21,,2.2,1.44,6.13,,1.64,1.62,1.84,1.67,4.53,5.29,4.94,3.02,3.84,1.32,,,,,,,
February,1.58,0.29,2.51,3.57,1.89,0.55,2.08,2.16,1.17,4.57,,2.91,3.23,2.75,4.85,1.01,2.45,1.62,1.32,,4.72,2.5,4.99,,5.23,5.08,4.8,1.26,3.36,3.86,1.77,1.25,2.68,6.65,,,,,,,
March,3.21,1.14,1.42,1,2.52,3.56,2.05,5.13,0.87,1.26,,2.43,1.79,5.63,3.5,5.12,1.85,0.96,3.58,3.67,2.48,1.63,2.64,,3.67,0.9,3.33,2.81,2.28,2.47,5.01,2.91,2,3.01,,,,,,,
April,1.93,2.24,1.09,0.61,4.87,2.15,0.65,3.84,4.39,2.84,,2.28,3.29,1.32,1.49,3.85,0.55,2.84,1.44,5.31,2.71,2.36,1.55,,1.32,0.97,2.13,0.98,1.73,1.25,3.72,0.61,3.36,4.6,,,,,,,
May,3.42,3.56,3.02,1.59,5.56,0.17,0.16,1.83,3.47,4.19,,0.96,1.89,2.6,2.37,1.83,2.16,3.94,1.45,,2.88,1.33,0.72,,1.62,2.65,3.67,3.7,2.8,2.38,3.75,2.05,1.25,1.72,,,,,,,
June,2.94,3.89,3.13,1.74,2.28,2.45,2.43,3.04,3.52,2.8,,2.41,3.6,5.5,2.62,1.59,1.26,3.52,1.96,,3.37,2.12,4.83,,1.17,1.51,2.98,1.88,1.49,2.15,1.59,0.35,2.08,1.17,,,,,,,
July,1.74,2.14,3.89,1.93,4.44,3.83,5.07,1.68,1.85,3.04,,1.37,3.16,4.72,3.18,1.89,1.03,3.06,2.19,4.19,2.71,2.24,6,,3.29,5.57,1.31,2.21,3.48,0.95,6.17,4.46,3.63,3.4,,,,,,,
August,2.78,5.53,5.34,5.08,3.65,4.04,0.82,5.5,4.27,1.71,,3.77,2.36,4.53,3.49,5.07,1.46,2.69,4.63,2.27,6.26,2.46,4.84,,3.86,2.4,2.32,8.63,3.1,2.91,3.34,5.99,6.05,5.51,,,,,,,
September,2.46,3.81,3.69,0.67,1.46,1.52,6.31,2.72,2.41,1.93,,6.07,4.23,2.67,5.18,2.04,0.2,0.94,6.36,2.45,0.77,4.8,0.49,,1.49,2.13,2.89,1.76,8.73,2.74,1.58,1.1,2.89,2.76,,,,,,,
October,1.39,7.91,3.87,2.8,5.9,2.78,3.4,3.02,4.63,2.16,,4.17,3.31,4.86,0.68,0.89,4.6,8.01,5.54,,2.92,3.68,3.53,,3.07,5.54,7.36,3.19,4.16,1.13,7.05,3.46,1.05,4.79,,,,,,,
November,4.84,5.74,4.08,1.81,4.52,5.07,0.98,5.22,4.58,3.35,,2.6,6.19,2.28,1.92,4.15,1.73,4.55,3.85,1.76,4.89,4.3,1.34,,3.24,3.08,5.04,2.65,3.62,2.89,4.03,5.12,1.26,3.35,,,,,,,
December,3.02,6.98,2.37,4.79,3.37,4.79,8.3,4.92,2.62,5.22,,3.52,3.05,5.8,3.06,1.95,2.38,3.27,5.62,6.4,6.02,9.13,3.1,,8.76,6.74,3.01,2.42,5.55,6.06,4.87,1.76,3.98,2.92,,,,,,,
Total,30.53,45.21,35.1,30.09,46.08,36.09,33.75,42.31,37.54,38.05,,36.43,37.6,48.27,36.45,30.89,24.28,35.96,40.15,,41.93,37.99,40.16,,38.36,38.19,40.68,33.16,44.83,34.08,47.82,32.08,34.07,41.2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909 Jan/Feb/May/June/Oct/total all estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Noted as ""return as rec'd was hopelessly discordant""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
