"LOCHEARNHEAD (ARDLOCH)",,,,,,,,,,,,
Grid ref,NN592239,Long,-4.282139,Lat,56.386339,,,,,,,
Station no,5542,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.37,5.02,2.28,6.46,2.91,,,6.45,2.65,4.55,,
February,5.44,1.51,3.05,5.58,2.22,,,3.05,2.20,5.60,,
March,3.50,5.22,2.21,5.31,3.78,,,1.70,4.65,4.50,,
April,4.76,3.35,3.18,2.14,2.91,,,1.90,2.65,5.80,,
May,1.96,3.66,4.30,6.16,4.10,,,3.19,2.30,4.10,,
June,2.69,4.25,3.80,2.61,2.55,,1.85,3.25,2.90,2.10,,
July,2.97,2.37,4.93,2.62,0.83,,3.75,7.34,3.78,3.75,,
August,6.59,4.86,2.12,5.09,1.09,,4.55,5.95,1.94,4.40,,
September,5.34,3.46,8.05,6.38,4.41,,3.10,4.95,1.34,3.95,,
October,2.04,7.21,4.85,10.87,4.84,,5.13,6.20,7.13,8.15,,
November,13.52,2.54,8.89,12.82,3.47,,2.20,1.45,8.70,8.35,,
December,8.95,5.78,7.86,10.97,12.44,,7.45,8.40,11.95,8.35,,
Total,64.13,49.23,55.52,77.01,45.55,,,53.83,52.19,63.60,,
Calc annual,64.13,49.23,55.52,77.01,45.55,0.00,28.03,53.83,52.19,63.60,,
Difference,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,-0.00,0.00,0.00,,
