RATHO THE VILLA,,,,,,,,,,
Grid ref,NT137709,Long,-3.3811006,Lat,55.924088,Elevation,243,ft,,
Station no,RR8843,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,3.3,2.12,,,6.1,,
February,,,,1.18,0.9,,,1.98,,
March,,,3.74,1.65,1.71,,,1.48,,
April,,,2.16,0.23,1.63,,,3.3,,
May,,,3.56,2.07,1.26,,,2.14,,
June,,,3.08,0.96,1.28,,,2.2,,
July,,,3.04,3.07,2.1,,,4.25,,
August,,,3.42,3.26,4.48,,,7.3,,
September,,,5.04,3.75,2.98,,,1.45,,
October,,,3.86,4.1,2.89,,,2.4,,
November,,,2.73,2.43,3.34,,,2.1,,
December,,,3.64,2.01,2.5,,,2.3,,
Total,,,,28.01,27.19,,,37,,
