LOCH ERICHT BEN ALDER LODGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 49874 67984,Long,-4.45861,Lat,56.77912,Elevation,1175,ft,,,,,,,,,,,,,
Station no,5690,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,10.97,9.7,10.35,4,10.35,8.48,6.78,11.35,,10.62,4.3,12.82,8.16,9.88,3.83,3.04,9.4,12.89,,
February,,2.03,11.13,8.72,3.46,7.27,6.05,1.8,,,0.44,4.67,0.14,4.84,1.9,6.77,1.67,4.14,7.06,,
March,,8.83,3.13,3.08,0.74,3.9,6.84,2.83,,,3.05,0.87,2.77,1.75,3.9,3.26,2.17,2.26,7.38,,
April,,1.98,3.82,2.73,2.31,5.25,2.85,3.88,,,1.73,2.85,5.1,2.69,5.37,3.21,1.51,0.9,1.87,,
May,,4.53,5.35,4.28,3.74,5.24,3.81,3.7,,,3.02,4.39,3.68,1.37,3.69,0.84,1.19,3.26,3.02,,
June,,1.05,2.49,2.65,2.13,1.22,3.33,3.81,,,2.19,3.92,0.77,2.31,1.75,3.43,1.35,2.38,6.33,,
July,,3.65,3.53,4.12,5.59,1.83,3.37,4.33,,,3.07,5.48,4.99,2.37,2.67,1.02,4.53,5.09,4.1,,
August,,3.94,2.28,6.84,4.52,2.67,3.69,3.75,,,5.35,2.07,2.46,3,3.82,2.91,2.15,3.32,2.32,,
September,,2.71,2.96,4.57,9.38,3.24,3.95,6.26,,,4.78,1.85,4.41,1.6,5.9,7.21,3.62,4.11,4.9,,
October,5.11,5.56,3.38,11.41,4.34,3.87,6.56,5.47,,,7.02,4.37,7.92,7.09,7.13,9.64,7.55,2.86,10.88,,
November,9.28,3.36,4.55,4.88,3.93,1.11,7.58,4.85,,,7.28,8.6,7.32,2.1,0.62,4.75,3.23,0.68,10.24,,
December,5.75,9.26,8.23,5.38,13.68,7.45,4,1.65,,11.09,4.73,7.44,8.99,0.75,9.62,2.39,9.93,2.79,6.85,,
Total,,57.87,60.55,69.01,57.82,53.4,60.51,49.11,,,53.28,50.81,61.37,38.03,56.25,49.26,41.94,41.19,77.84,,
,,,,,,,,,,,,,,,,,,,,,
BR 1922 P Ja Feb adj for snow,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5690,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
