HEMYOCK-CULM-DAVY-HOUSE,,,,,,,,,,
Grid ref,ST124146,Long,-3.24774,Lat,50.92449,Elevation,512,ft,,
Station no,1793/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.86,3.05,0.7,2.1,4.55,3.84,2.53,3.1,4.2,3.09
February,5.35,1.79,1.82,3.62,3.03,0.37,4.91,3.28,0.37,3.42
March,4.3,3.68,0.95,3.85,1.1,1.57,2.33,1.12,4.04,2.64
April,2.38,2.61,3.5,0.34,1.1,1.41,0.11,0.79,2.7,2.39
May,3.31,3.4,1.71,2.18,3.95,0.29,1.91,3.2,0.89,1.23
June,1.81,1.63,2.54,2.72,3.44,1.62,4.12,2.81,1.4,1.82
July,1.37,2.29,2.52,3.36,3.14,2.38,3.53,2.1,2.13,4.98
August,4.65,5.45,2.1,3.45,0.24,3.36,2.68,3.38,2.18,2.54
September,3.45,3.76,3.58,3.86,1.52,6.92,3.58,5.25,0.15,3.32
October,1.37,4.2,3.79,3.09,1.66,1.82,1.98,2.93,3.27,13.4
November,8.05,4.6,1.99,6.96,4.37,0.98,2.33,2.49,6.71,3.9
December,3.17,3.77,1.31,3.52,5.93,5.21,3.73,4.09,7.93,4.04
Total,43.07,40.23,26.51,39.05,34.03,29.77,33.74,34.54,35.97,46.77
,,,,,,,,,,
1959 Daughter took over observations No mention of gauge moving,,,,,,,,,,
1959 Not printed Low,,,,,,,,,,
1960 No info about gauge having moved before 1961 but MIDAS has it at Culm Davy New Barn 250yds NW,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Culm Davy New Barn SRC_ID 8251,,,,,,,,,,
1951-2002,,,,,,,,,,
