DOUGLAS NEWMAINS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS848314,Long,-3.828,Lat,55.563,Elevation,780,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5188/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.97,6.05,10.69,5.8,6.75,10.56,5.66,7.89,4.25,3.48,4.49,9.23,8.47,4.56,5.06,2.09,9.39,6.34,1.25,1.14,1.72,4.97,5.72,8.72,3.57,,,4.11,4.16,7.17,2.88,3.7,2.32,6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.74,4.62,1.85,1,4.73,4.64,4.89,3.5,4.58,3.62,7.04,4.37,2.29,3.42,4.72,3,3.88,2.76,2.36,,,,
February,,4.89,2.45,5.35,4.42,3.82,5.91,4.57,6.13,6.65,5.66,3.27,3.45,1.13,2.59,2.31,3.74,4.79,2.63,2.12,5.55,3.77,3.05,4.67,7.17,6.07,,,1.26,3.95,1.21,0.69,4.18,5.69,9.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,4.94,1.25,3.59,1.27,4.42,1.81,5.83,2.6,0.83,3.59,4.29,4.09,2.96,0.93,1.24,2.14,1.55,1.84,,,,
March,,7.94,11.41,2.75,6.75,2.06,2.4,2.46,5.92,0.51,1.08,4.54,2.85,3.37,2.93,1.33,5.86,3.29,2.17,3.99,2.58,5.11,4.81,2.74,3.18,2.73,,2.15,4.72,2.69,4.36,5.65,1.2,3.18,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,3.62,4.14,3.07,2.19,2.08,0.47,2.92,1.88,3.34,3.29,1.63,3.09,2.65,1.47,0.55,2.36,1.31,2.3,,,,
April,,1.16,5.39,5.21,2.05,0.56,1.79,4.65,4.89,1.76,1.47,3.04,1.11,0.59,2.43,1.6,2.02,2.99,2.15,1.37,4.59,1.04,3.49,2.13,0.88,2.23,,2.92,2,2.58,2.36,1.93,2.19,1.16,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,1.98,2.7,1.2,1.53,2.69,2.75,1.59,1.33,5.21,3.99,3.76,3.39,2.73,2.34,1.78,1.09,2.06,0.91,,,,
May,,1.68,4.66,4.9,1.69,5.37,1.31,2.02,3.26,1.45,3.17,0.61,3.57,3.45,1.04,1.43,1.3,3.14,3.23,2.5,0.98,1.72,2.31,1.63,4.05,2.82,,1.9,4.59,2.62,4.75,2.82,5.23,2.9,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69,0.47,1.61,4.63,2.66,4.24,2.79,4.65,0.99,4.05,1.06,1.42,1.6,1.96,2.34,1.79,4.48,3.55,1.76,,,,
June,,3.2,4.97,4.9,3.95,0.37,2.42,2.02,1.06,1.4,2.75,3.29,5.27,1.78,1.13,3.56,3.56,2.6,2.09,4.09,1.87,2.99,3.92,2.45,0.69,0.68,,0.9,2.71,1.5,5.11,1.34,3.3,2.23,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14,1.95,0.96,0.96,1.1,4,3.1,3.58,2.79,3.26,4.32,0.84,2.43,1.61,2.62,1.38,2.55,1.65,2.58,,,,
July,,6.42,3.97,1.95,2.97,3.3,3.59,5.16,0.46,0.99,1.75,4.99,3.72,5.42,2.04,2.78,3.39,3.12,0.78,4.94,5.3,5.87,5.17,2.77,4.95,1.27,,3.71,6.74,4.53,4.52,2.12,3.07,3.93,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,4.7,3.93,2.59,2.97,2.61,3.67,2.7,3.71,3.04,2.55,1.55,4.11,2.51,3.63,4.45,3.66,2.26,4.34,,,,
August,,7.13,5.12,5.25,1.2,4.3,3,2.14,5.26,1.27,2.48,4.29,3.93,5.69,6.06,2.07,5.38,5.65,3.32,4.09,0.92,3.89,3.7,5.34,1.27,5.59,,3.66,3.83,6.35,5.05,8.72,7.96,5.3,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,2,1.82,7.52,3.82,4.2,3.88,1.44,2.99,0.12,6.02,3.28,4.23,6.67,4.31,2.04,4.02,1.84,7.52,,,,
September,,7.32,2.25,5.75,2.42,0.44,4.46,4.45,2.82,5.39,4.09,1.8,8.51,5.7,4.83,5.65,2.05,2.21,5.61,3.56,4.02,3.15,3.29,4.46,3.18,5.98,,5.67,1.93,2.67,4.69,11.81,4.21,3.22,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32,1.44,5.39,1.31,4.08,2.81,4.68,6.91,5.78,4.04,4.74,1,8.13,1.77,2.62,3.12,6.65,3.1,3.69,,,,
October,,4.23,11.36,6.27,4.83,2.58,3.11,3.91,5.75,1.06,4.75,4.28,4.78,8.04,7.16,4.74,4.37,5.19,4.26,1.86,2.1,3.19,3.41,6.38,3.18,3.8,,2.07,3.75,5.73,4.07,6.94,5.58,5.47,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.84,1.95,3.98,3.75,6.06,6.79,4.36,4.07,1.03,1.62,3.11,5.67,3.39,0.66,2.42,3.04,7.64,2.64,3.02,,,,
November,,10.25,4.35,4.97,5.02,3.13,5.21,0.95,3.73,7.67,2.76,2.11,6.69,2.8,4.36,3.87,1.99,6.67,3.06,1.2,8.76,6.61,6.5,6.79,2.69,2.66,,5.88,8.65,2.85,8.87,5.72,4.24,2.5,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.51,8.05,4.74,3.08,1.01,2.27,7.9,0.53,4.96,5.58,3.12,4,3.68,6.48,2.83,5.57,6.51,1.3,1,,,,
December,,4.9,8.94,7.01,3.78,3.74,7.02,3.88,7.81,6.65,1.78,5.38,7.81,3.81,2.7,4.48,5,5.22,2.05,2.65,5.77,5.5,6.47,5.25,7.29,,,4.66,5.38,6.55,2.32,10.08,2.76,6.67,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,1.82,3.79,2.28,5.41,2.72,5.11,3.13,3.55,3,5.92,7.28,1.19,5.62,3.23,4.18,5.92,5.86,,,,,
