DUNBLANE (OLD DOUNE ROAD),,,,,,,,,,
Grid ref,NN776011,Long,-3.973748,Lat,56.186746,Elevation,230,ft,,
Station no,5527/1/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.09,2.75,5.58,2.82,1.04,3.03
February,,,,,2.16,1.62,3.26,2.25,0.93,3.61
March,,,,,1.5,2.25,3.73,1.7,2.54,2.09
April,,,,,1.53,0.69,1.37,1.92,2.92,3.22
May,,,,,2.68,2.19,2.25,3.55,1.44,2.8
June,,,,,1.84,2.94,2.18,2.85,1.83,2
July,,,,,1.21,4.77,4.76,5.81,5.01,3.18
August,,,,,1.18,5.76,4.76,5.51,1.47,4.17
September,,,,,2.85,5.91,1.59,5.11,0.89,2.81
October,,,,,3.29,3.36,2.84,3.14,3.65,3.85
November,,,,,1.73,0.96,1.9,1.34,5,4.69
December,,,,,7.36,4.38,4.38,5.39,5.56,4.4
Total,,,,,29.42,37.58,38.6,41.39,32.28,39.85
,,,,,,,,,,
Gauge moved from Glen Rd 1955,,,,,,,,,,
,,,,,,,,,,
Station no,5527/1/5,,,,,,,,,
Midas,207,,,,,,,,,
Hyd stn,894055,,,,,,,,,
