DUNBLANE (GLEN-ROAD),,,,,,,,,,,,,,,,,,,,
Grid ref,NN 78553 01176,Long,-3.958431,Lat,56.187671,Elevation,270,ft,,,,,,,,,,,,
Station no,5527/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,5.05,1.72,4.85,,,,,,1.97,1.16,4.1,,,,,,
February,,,,1.4,6.89,3.1,2,,,,,1.03,1.06,3.5,,,,,,
March,,,1.9,0.23,1.57,3.07,5,,,,,3.61,1.29,3.7,,,,,,
April,,,2.25,2.55,3.68,0.65,4.61,,,,,1.49,2.35,1.44,,,,,,
May,,,4.75,2.9,4.88,1.44,4.46,,,,,2.47,2.03,5.17,,,,,,
June,,,3.7,3.19,4.18,3.41,3.89,,,,,2.27,2.49,3.46,,,,,,
July,,,1.86,2.6,4.6,3.3,4.63,,,,,2.79,5.69,3.67,,,,,,
August,,,5.75,2.54,3.46,3.68,0,,,,,5,3.34,4.08,,,,,,
September,,,3.25,3.32,4.55,6.79,4.35,,,,3.57,2.15,4.29,4.43,,,,,,
October,,,7.65,4.32,4.47,0.65,2.47,,,,0.78,3.47,2.17,8.06,,,,,,
November,,,1.85,7.62,0.83,6,,,,,6.2,2.18,5.8,6.29,,,,,,
December,,,2.1,5.56,4.04,4.36,,,,,5.18,4.31,4.88,5.77,,,,,,
Total,,,,41.28,44.87,41.3,,,,,,32.74,36.55,53.67,,,,,,
,,,,,,,,,,,,,,,,,,,,
1947 Feb Mar Estd for snow,,,,,,,,,,,,,,,,,,,,
1947 Nov Dec Estd deleted ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1948 Gauge moved to Elmswood,,,,,,,,,,,,,,,,,,,,
1955 Gauge moved to Old Doune Rd,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5527/2,,,,,,,,,,,,,,,,,,,
Midas,,see elmswood,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
