DUNBLANE (OLD DOWNE ROAD),,,,,,,,,,,,
Grid ref,NN776011,Long,-3.973748,Lat,56.186746,,,,,,,
Station no,5527/1/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.97,1.16,4.10,2.09,2.75,5.58,2.82,1.04,3.03,,
February,,1.03,1.06,3.50,2.16,1.62,3.26,2.25,0.93,3.61,,
March,,3.61,1.29,3.70,1.50,2.25,3.73,1.70,2.54,2.09,,
April,,1.49,2.35,1.44,1.53,0.69,1.37,1.92,2.92,3.22,,
May,,2.47,2.03,5.17,2.68,2.19,2.25,3.55,1.44,2.80,,
June,,2.27,2.49,3.46,1.84,2.94,2.18,2.85,1.83,2.00,,
July,,2.79,5.69,3.67,1.21,4.77,4.76,5.81,5.01,3.18,,
August,,5.00,3.34,4.08,1.18,5.76,4.76,5.51,1.47,4.17,,
September,3.57,2.15,4.29,4.43,2.85,5.91,1.59,5.11,0.89,2.81,,
October,0.78,3.47,2.17,8.06,3.29,3.36,2.84,3.14,3.65,3.85,,
November,6.20,2.18,5.80,6.29,1.73,0.96,1.90,1.34,5.00,4.69,,
December,5.18,4.31,4.88,5.77,7.36,4.38,4.38,5.39,5.56,4.40,,
Total,,32.74,36.55,53.67,29.42,37.58,38.60,41.39,32.28,39.85,,
Calc annual,15.73,32.74,36.55,53.67,29.42,37.58,38.60,41.39,32.28,39.85,,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
