DUNBLANE (LEDCAMEROCH),,,,,,,,,,,,
Grid ref,NN788019,Long,-3.954792,Lat,56.194236,,,,,,,
Station no,5527/2/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.03,5.63,2.84,0.94,2.99,,
February,,,,,,1.57,2.91,2.47,1.15,3.78,,
March,,,,,,2.46,4.16,1.93,2.84,2.42,,
April,,,,,,0.86,1.71,2.15,3.27,3.29,,
May,,,,,,1.87,2.42,3.68,1.23,2.29,,
June,,,,,,3.85,2.30,3.16,1.89,2.08,,
July,,,,,,5.03,4.82,6.19,5.41,3.01,,
August,,,,,,6.42,4.93,5.76,1.64,4.13,,
September,,,,,,5.93,1.68,5.13,0.94,2.97,,
October,,,,,,3.39,3.15,3.21,3.83,4.42,,
November,,,,,,1.01,2.24,1.68,5.55,5.12,,
December,,,,,,4.12,4.53,6.22,6.24,4.26,,
Total,,,,,,39.54,40.48,44.42,34.93,40.76,,
Calc annual,0.00,0.00,0.00,0.00,0.00,39.54,40.48,44.42,34.93,40.76,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,,
