BANAGHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IN0060815603,Long,-7.9916364,Lat,53.191111,Elevation,170,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,3.14,1.26,5.84,2.72,1.58,,,1.99,4.89,3.38,1.96,3.09,2.86,2.09,1.48,,,,2.13,2.67,2.24,1.09,1.91,2.22,3.83,4.01,2.51,2.86,4.66,3.71,2,,,,,,,,,,,,,,,,,,,,,,,4.32,1.92,4.78,1.96,3.32,3.13,4.55,0.74,3.87,4.28,4.61,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,0.83,4.69,2.33,1.01,2.39,,,2.02,4.26,3.13,2.6,1.35,1.12,0.44,1.77,,,,2.01,3.17,0,1.42,1.84,1.58,2.52,2.4,1.13,1.99,3.02,4.23,1.12,,,,,,,,,,,,,,,,,,,,,,,3.36,3.38,0.63,2.68,0.17,3.11,0.14,2.71,1.59,4.46,1.23,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,0.99,3.9,2.19,0.78,0.99,,,2.57,0.71,3.06,1.96,2.63,0.96,2.83,1.47,,,,0.65,1.49,3.27,4.43,4.2,0.78,1.3,0.22,2.97,2.24,4.97,2.67,3.17,,,,,,,,,,,,,,,,,,,,,,,2.97,0.53,3.66,2.32,1.32,3.47,2.47,1.67,1.69,1.87,1.11,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.83,2.26,3.42,0.45,1.5,,,3.02,2.07,1.27,2.75,1.71,1.5,1.43,2.37,,,,0.74,4.33,1.09,0.77,3.8,3.26,2.91,2.16,1.81,2.19,1.22,1.81,1.3,,,,,,,,,,,,,,,,,,,,,,,1.85,0.89,1.96,2.32,2.15,1.3,1.44,2.19,2.4,2.32,0.2,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.11,0.94,2.36,3.1,2.02,,,3.63,2.08,2.27,1.25,2.31,1.23,2.18,2.78,,,,2.1,2.43,0.68,0.17,1.01,2.4,2.39,1.8,1.31,1.93,1.49,2.78,0.97,,,,,,,,,,,,,,,,,,,,,,,1.53,1.85,1.34,3.37,1.78,1.97,1.95,0.81,1.14,2.71,3.48,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,3.52,1.7,4.2,1.27,3.87,,,2.21,1.48,0.76,1,1.87,0.27,4.04,1.16,,,,1.14,2.26,0.9,1.78,4.28,2.87,2.63,3.78,3.35,1,1.22,1.24,1.08,,,,,,,,,,,,,,,,,,,,,,,4.22,1.41,2,4.02,1.01,2.68,1.13,5.05,3.28,1.46,3.28,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,1.81,1.71,3.41,0.53,3.5,,,4.46,3.51,2.4,1.67,2.53,2.69,3.62,0.42,,,,1.99,2.46,3.02,5.97,2.89,1.42,2.34,1.47,0.78,0.42,4.49,3.22,0.7,,,,,,,,,,,,,,,,,,,,,,,1.9,3.16,3.37,2.82,3.4,1.96,1.11,0.84,5.59,4.33,5.3,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,3.04,3.67,3.94,1.32,2.33,,,3.52,3.51,1.3,2.16,1.65,2.21,1.82,4,,,,2.82,3.03,4.94,2.53,4.13,5.5,2.89,8.82,2.58,2.95,4.88,4.36,5.09,,,,,,,,,,,,,,,,,,,,,,,5.11,5.9,7.66,2.34,1.45,1.82,3.87,3.25,1.58,3.09,3.57,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,5.16,5.86,2.35,0.96,3,,3.7,1.8,3.4,1.78,3.43,2.21,2.31,0.75,0.9,,,,1.6,0.23,0.51,4.95,1.78,2.21,2.2,0.94,4.34,1.91,3.01,2.63,1.61,,,,,,,,,,,,,,,,,,,,,,,2.01,0.83,3.18,2.12,3.42,1.48,5.04,5.83,3.84,4.89,1.91,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,3.95,2.89,4.19,0.9,0.77,,2.22,3.6,2.96,2.72,3.44,3.19,2.52,1.01,3.37,,,,2.84,2.94,3.01,3.31,2.7,1.7,1.39,5.42,3.2,1.23,3.88,2.64,0.83,,,,,,,,,,,,,,,,,,,,,,,5.14,4.22,4.96,1.61,3.61,2.48,3.48,3.29,2.12,1.72,6.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,3.87,4.26,5.82,0.87,0.4,,3.43,5.25,4.34,3.14,1.77,2.48,2.56,2.04,0.57,,,,1.58,3.19,3.89,0.78,4.97,4.39,2.13,4.66,3.51,4.01,2.21,2.17,2.31,,,,,,,,,,,,,,,,,,,,,,,3.92,3.74,3.18,5.31,1.25,1.48,1.46,3.47,3.46,1.48,5.01,6.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,2.22,5.81,3.65,0.3,1.69,,3.82,2.84,1.79,3.8,0.61,3.72,2.33,3.22,3.17,,,,3.44,2.68,3.18,4.7,4.8,2.16,4.87,3.65,2.92,2.6,2.95,2.02,1.34,,,,,,,,,,,,,,,,,,,,,,,2.85,6.31,3.61,2.44,4.22,1.97,4.74,1.54,2.91,2.21,3.32,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,38.95,43.7,,24.04,,,36.91,35,29.01,24.6,28.74,22.56,25.47,23.46,,,,23.04,30.88,26.73,31.9,38.31,30.49,31.4,39.33,30.41,25.33,38,33.48,21.52,,,,,,,,,,,,,,,,,,,,,,,39.18,34.14,40.33,33.31,27.1,26.85,31.38,31.39,33.47,34.82,39.42,30.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: New gauge location 1928. Approx 300 yds W of previous.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
