DOUGLAS CLYPSE ONCHAN 2,,,,,,,,,,
Grid ref,SC402807,Long,-4.45,Lat,54.197,Elevation,450,ft,,
Station no,4415/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,6.05
February,,,,,,,,,,4.65
March,,,,,,,,,,2.17
April,,,,,,,,,,3.55
May,,,,,,,,,,2.92
June,,,,,,,,,,1.63
July,,,,,,,,,,7.43
August,,,,,,,,,,3.08
September,,,,,,,,,,4.51
October,,,,,,,,,,6.25
November,,,,,,,,,,8.99
December,,,,,,,,,,5.91
Total,,,,,,,,,,57.14
,,,,,,,,,,
,,,,,,,,,,
New gauge with new station number,,,,,,,,,,
Old gauge remained in service,,,,,,,,,,
NGR and elevation verified to OS map,,,,,,,,,,
