"DOUGLAS (CLYPSE RESERVOIR ONCHAN)",,,,,,,,,,,,
Grid ref,SC403807,Long,-4.449564,Lat,54.197112,,,,,,,
Station no,4416,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.80,3.49,1.96,4.42,4.34,5.23,3.45,5.42,3.69,5.54,,
February,3.47,1.25,2.45,4.72,3.56,0.82,4.38,7.16,1.21,3.93,,
March,4.58,3.16,0.46,3.92,2.89,1.40,4.05,2.23,3.27,2.31,,
April,1.46,1.60,3.39,0.80,2.90,1.23,0.97,1.17,2.66,2.86,,
May,4.85,3.60,3.38,3.21,2.76,1.38,3.90,4.40,0.96,2.83,,
June,1.07,2.42,1.68,2.39,5.41,3.08,1.91,4.38,3.15,1.40,,
July,2.44,1.45,4.65,3.97,2.24,4.03,3.32,4.77,2.37,6.64,,
August,5.21,5.44,5.18,5.79,2.56,7.96,3.28,6.13,0.43,2.91,,
September,4.87,5.44,5.98,5.86,3.15,4.74,7.71,5.75,1.51,4.07,,
October,1.03,5.66,4.13,8.17,3.30,3.51,5.77,3.32,5.04,6.51,,
November,8.62,3.68,5.55,7.11,3.14,1.64,3.74,3.41,6.92,7.25,,
December,6.23,4.94,2.42,7.23,6.43,3.49,3.86,6.51,9.41,4.76,,
Total,49.63,42.13,41.23,57.59,42.68,38.51,46.34,54.65,40.62,51.01,,
Calc annual,49.63,42.13,41.23,57.59,42.68,38.51,46.34,54.65,40.62,51.01,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
