DOUGLAS CLYPSE ONCHAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SC403807,Long,-4.448,Lat,54.197,Elevation,440,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.53,2.59,4.59,7.01,3.84,4.37,3.44,2.45,1.97,4.36,1.74,3.44,2.39,3.39,3.33,2.14,2.94,2.83,7.13,4.95,2.99,2.46,5.86,2.82,1.63,5.62,1.93,3.29,1.88,3.44,1.84,4.07,5.02,2.98,3.82,3.75,3.63,5.13,5.11,3.86,5.11,7.19,3.79,5.85,3.43,5.16,3.84,7.08,3.07,5.87,6.61,3.03,3.7,4.11,2.03,7.12,4,4.95,6.12,6.87,1.83,7.16,7.2,4.34,5.28,5.01,4.9,11.83,2.86,2.5,5.8,3.49,1.96,4.42,4.34,5.23,3.45,5.42,3.69,5.54
February,,7.22,3.56,2.76,4.75,4.65,2.2,0.98,1.12,3.02,1.85,0.26,1.26,5.56,5.22,1.33,2.03,3.73,3.14,3.06,5.53,2.76,4.77,2.49,4.45,1.76,3.55,2.8,2.83,2.8,5.04,4.19,4.12,1.9,3.78,5.33,3.56,2.74,4.5,1.94,1.88,0.6,5.13,5.28,1.51,5.09,5.2,2.82,3.23,1.88,0.76,3.43,0.16,4.31,0.24,3.85,4.43,7.9,1.91,3.04,4.34,4.1,2.87,2.8,1.78,4.55,3.8,0.84,2.43,1.84,5.21,3.47,1.25,2.45,4.72,3.56,0.82,4.38,7.16,1.21,3.93
March,,4.62,3.57,1.48,4.08,3.63,3.82,2.42,4.28,2.84,2.85,1.35,1.05,1.08,1.96,5.43,3.27,4.61,2.14,2.34,1.12,2.68,2.38,3.46,3.03,4.45,2.19,3.66,4.38,5.54,2.13,1.23,4.96,4.88,6.17,2.29,2.15,2.53,2.06,4.97,3.8,3.95,2.48,1.36,3.1,1.45,1.31,5.04,3.99,1.24,2.83,0.78,1.64,3.46,2.68,1.51,2.42,4.86,2.03,3.85,5.36,3.54,3.44,0.53,1.08,1.53,1.84,8.56,2.76,4.22,3.51,4.58,3.16,0.46,3.92,2.89,1.4,4.05,2.23,3.27,2.31
April,,2.12,4.81,1.98,1.72,3.2,2.15,1.24,3.1,3.63,2.66,2.58,1.17,1.55,1.85,2.88,1.25,2.77,1.87,5.32,2.39,3.12,1.92,1.85,2.06,2.91,1.96,2.93,3.51,3.66,3.84,3.29,0.95,3.22,1.13,2.98,3.76,2.77,2,3.04,5.18,1.28,3.74,2.64,3.83,3.25,1.87,1.97,1.4,1.47,2.41,2.1,3.4,2.05,2.73,4.03,1.48,4.05,0.48,2.44,5.07,2.67,1.84,1.85,2.04,2.73,0.96,4.03,2.39,3.13,3.98,1.46,1.6,3.39,0.8,2.9,1.23,0.97,1.17,2.66,2.86
May,,2.89,0.84,2.95,1.42,2.18,8.21,1.99,2.06,3.78,3.4,2.1,3.73,1.84,4.11,0.26,0.23,1.6,4.32,4.07,2.94,1.64,4.24,3.82,2.53,2,5.77,3.83,2.34,1.46,2.47,1.76,2.22,2.82,3.74,2.27,7.01,4.55,3.45,2.25,3.66,2.1,1.05,3.06,5.25,4.68,2.52,2.38,1.27,2.48,1.95,3.84,4.5,2.34,2.87,1.21,2.83,1.71,5.09,0.68,1.47,4.29,3.83,3.38,2.26,3.81,1.46,3.75,2.73,1.02,1.27,4.85,3.6,3.38,3.21,2.76,1.38,3.9,4.4,0.96,2.83
June,,5.5,3.87,3.17,0.48,1.68,1.66,0.64,2.8,0.47,4.02,3.41,3.24,2.51,4.5,1,3.39,6.3,1.94,3.81,3,3.34,1.66,3.44,1.92,2.95,1.42,5.09,2.68,1.87,2.16,3.86,3.93,2.95,1.26,0.89,2.68,1.61,1.93,3.27,3.2,0.25,1.62,1.06,3.25,0.1,2.39,4.11,6,1.67,2.28,6.39,2.21,2.42,2.92,3.8,3,3.37,6.75,2.8,1.16,0.51,0.51,2.26,2.14,3.1,4.62,4.76,6.54,0.44,1.34,1.07,2.42,1.68,2.39,5.41,3.08,1.91,4.38,3.15,1.4
July,,3.3,5.91,2.16,4.86,2.2,5.62,2.7,8.48,3.09,2.81,1.85,3.11,3.54,2.35,3.49,5.24,1.18,0.31,3.88,2.54,1.33,3.91,4.59,2.62,1.52,2.45,1.96,3.21,6.4,4.04,2.28,3.82,1.46,3.41,4.77,3.05,1.98,3.71,0.74,5.12,5.18,4.16,3.01,5.51,2.21,3,3.32,2.53,2.97,3.01,3.11,3.31,2.1,0.48,1.57,5.41,4.3,5.55,4.87,3.06,2.21,2.64,2.28,3.78,2.52,1.97,3.19,2.68,5.41,3.06,2.44,1.45,4.65,3.97,2.24,4.03,3.32,4.77,2.37,6.64
August,,6.74,4.35,3.63,1.73,2.21,2.82,1.25,2.96,6.52,4.4,7.06,6.9,3.85,4.12,4.65,1.85,3.57,5.33,1.37,8.24,4.89,4.12,4.64,4.38,5.64,5.47,4.56,3.76,2.94,5.56,1.82,5.61,0.9,4.46,2.18,3.17,8.15,2.31,3.26,4.02,5.63,2.74,6.89,5.2,2.55,4.09,5.29,5.63,4.94,6.17,4.46,5.23,1.19,3.72,1.45,3.25,2.4,2.55,1.64,0.96,2.93,5.59,5.79,3.09,1.4,7.99,0.17,6.06,3.4,6.57,5.21,5.44,5.18,5.79,2.56,7.96,3.28,6.13,0.43,2.91
September,,3.4,3.49,8.51,3.33,5.69,4.27,3.42,1.38,3.43,4.04,7.44,3.56,2.7,0.52,0.94,5.73,7.19,2.6,3.4,1.92,2.67,3.51,5.61,3.42,2.28,1.33,1.08,3.84,4.35,1.01,1.81,2.01,3.48,2.01,1.28,2.86,2.31,10.27,4.09,3.9,1.7,4.24,3.79,7.09,5.15,3.38,6.8,2.39,0.96,7.33,5.03,4.98,1.21,4.51,5.73,5.89,2.33,3.11,2.46,3.41,2.02,3.26,3.55,6.91,3.23,6.91,2.47,4.47,2.77,10.6,4.87,5.44,5.98,5.86,3.15,4.74,7.71,5.75,1.51,4.07
October,,4.01,5.52,4.62,2.19,5.36,5.7,2.84,3.41,3.8,2.4,6.28,8.17,4.14,6.74,7.19,7.08,2.48,5.22,3.82,7.92,8.02,4.62,9.19,2.1,3.5,5.61,7.67,2.29,9.45,3.32,4.82,4.91,3.85,2.44,6.27,9.87,6.91,5.04,4.2,4.58,3.2,1.91,7.11,3.03,5.92,3.53,4.46,8.91,8.21,8.89,2.69,8.3,6.27,6.59,5.45,3.19,5.27,9.07,3.58,4.56,5.93,6.21,5.33,7.1,3.69,0.79,1,4.31,6.47,4.8,1.03,5.66,4.13,8.17,3.3,3.51,5.77,3.32,5.04,6.51
