SIDMOUTH-MIX-(FORE-ST-OBSERVATORY-ROOF-ALT-25+25FT),,,,,,,,,,,,,,,,,,,,
Grid ref,SY126874,Long,-3.2376,Lat,50.68,Elevation,50,ft,,,,,,,,,,,,
Station no,RR3108,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,4.5,3.9,2.71,3.07,1.28,2.65,4.03,3.55,2.32,4.7,0.59,,,
February,,,,,,,3.35,1.6,1.25,1.96,1.57,1.8,2.59,2.56,2.44,1.81,3.17,,,
March,,,,,,,2.19,3.76,1.17,1.82,1.87,0.93,2.21,3.06,0.4,0.89,2.99,,,
April,,,,,,,1.84,1.94,1.76,0.81,0.31,4.25,1.62,0.86,1.62,0.88,2.34,,,
May,,,,,,,1.87,3.86,1.03,5.36,1.08,0.43,1.34,1.02,1.15,2.14,0.17,,,
June,,,,,,,1.37,0.8,0.51,0.44,0.55,1.54,2.9,0.82,1.78,2.16,0.97,,,
July,,,,,,,1.1,3.33,0.45,0.49,0.57,1.01,3.84,1.2,0.84,2.97,0.74,,,
August,,,,,,,1.41,1.56,3.39,0.39,0.65,0.48,1.76,3.61,1.06,1.7,3.6,,,
September,,,,,,,7.71,2.75,4.67,2.91,0.91,4.03,1.99,2.05,1.78,2.67,4.07,,,
October,,,,,,,2.68,3.23,1.96,1.88,3.39,2.86,4.19,1.87,5.38,6.44,2.94,,,
November,,,,,,,1.61,1.68,1.75,1.83,1.94,1.55,3.18,3.33,2.66,4.36,3.96,,,
December,,,,,,,2.04,1.41,4.43,3.14,2.52,2.05,4.34,0.2,3.49,0.6,6.43,,,
Total,,,,,,,31.67,29.82,25.08,24.1,16.64,23.58,33.99,24.13,24.92,31.32,31.97,,,
,,,,,,,,,,,,,,,,,,,,
"All references to this observer have him listed in High St, so assume the house was where the 2 roads met",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge on roof of observatory,,,,,,,,,,,,,,,,,,,,
Note says 'We notice that for some years this gauge has given 5 to 6in less than Dr Mackenzie (Belgrave) owing doubtless to elevation',,,,,,,,,,,,,,,,,,,,
Gauge 25ft above ground level,,,,,,,,,,,,,,,,,,,,
