SIDMOUTH-MIX-(BELGRAVE-2ND-GAUGE-ALT-26+6FT),,,,,,,,,,
Grid ref,SY124874,Long,-3.2411,Lat,50.68,Elevation,32,ft,,
Station no,RR3108,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,5.57,4.6,,,,,,
February,,,3.63,3.5,,,,,,
March,,,3.14,3.68,,,,,,
April,,,1.98,0.58,,,,,,
May,,,1.54,1.25,,,,,,
June,,,3.5,0.89,,,,,,
July,,,4.33,1.67,,,,,,
August,,,2.05,3.99,,,,,,
September,,,1.75,2.36,,,,,,
October,,,4.8,1.83,,,,,,
November,,,4.01,3.98,,,,,,
December,,,5.55,0.31,,,,,,
Total,,,41.85,28.64,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Exact location of Belgrave House and gauge unknown,,,,,,,,,,
"Elevation seems rather low for this area, but censuses suggest Belgrave House was here",,,,,,,,,,
Gauge 6ft above ground level,,,,,,,,,,
