SIDMOUTH-MIX-(BLACKMORE-HALL),,,,,,,,,,,,,,,,,,,,
Grid ref,SY126875,Long,-3.2384,Lat,50.6808,Elevation,30,ft,,,,,,,,,,,,
Station no,RR3108,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,1.48,4.6,5.82,5.29,,,1.68,3.39,5.43,4.81,,,,,,
February,,,,,1.6,3.23,3.74,1.99,,,2.27,2.33,3.47,3.47,,,,,,
March,,,,,2.63,1.07,3.02,4.89,,,2.17,1.25,2.91,3.72,,,,,,
April,,,,,1.08,1.02,2.34,2.42,,,0.33,5.19,2.06,0.97,,,,,,
May,,,,,1.17,2.84,2.07,4.4,,,1.44,0.44,1.53,1.31,,,,,,
June,,,,,0.81,1.68,1.88,0.88,,,0.6,1.88,3.5,0.91,,,,,,
July,,,,,0.64,3.87,1.13,3.93,,,0.64,3.7,4.42,1.83,,,,,,
August,,,,,0.82,4.01,1.83,1.8,,,0.76,0.67,2.18,4.32,,,,,,
September,,,,,2.28,0,9.3,3.1,,,1.13,4.99,2.42,2.5,,,,,,
October,,,,,1.91,5.95,3.1,3.77,,,4.38,3.69,5.03,1.97,,,,,,
November,,,,,2.74,4.32,2,1.96,,,2.54,1.79,4.29,4.47,,,,,,
December,,,,,3.54,4.39,2.48,1.91,,,3.05,2.48,5.9,0.31,,,,,,
Total,,,,,,36.98,38.71,36.34,,,20.99,31.8,43.14,30.59,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1865 June 1st Gauge moved unknown distance,,,,,,,,,,,,,,,,,,,,
