SIDMOUTH-MIX-(BELGRAVE-ALT-26+6FT),,,,,,,,,,,,,,,,,,,,
Grid ref,SY124874,Long,-3.2411,Lat,50.68,Elevation,32,ft,,,,,,,,,,,,
Station no,RR3108,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,4.77,5.9,4.9,3.43,4.06,1.54,3.2,5.31,4.47,,,,,,
February,,,,,,3.5,3.65,1.93,1.58,2.06,2.17,2.19,3.42,3.4,,,,,,
March,,,,,,1.94,2.8,4.97,1.54,2.09,2.1,0.99,2.67,3.69,,,,,,
April,,,,,,0.96,2.39,2.34,2.64,1.09,0.35,4.89,1.92,0.58,,,,,,
May,,,,,,2.89,2.12,4.29,1.36,6.18,1.4,0.45,1.58,1.27,,,,,,
June,,,,,,1.65,1.79,0.89,0.6,0.49,0.65,1.79,3.61,0.87,,,,,,
July,,,,,,3.7,1.07,3.88,0.56,0.66,0.62,3.55,4.36,1.67,,,,,,
August,,,,,,3.78,1.76,1.77,3.76,0.44,0.78,0.63,2.07,3.99,,,,,,
September,,,,,,0,8.87,3.04,5.27,2.77,0.92,4.88,1.77,2.28,,,,,,
October,,,,,,6.11,2.96,3.83,2.51,1.94,3.81,3.5,4.82,1.84,,,,,,
November,,,,,,4.5,1.96,1.9,2.59,2.11,2.45,1.77,4.01,3.98,,,,,,
December,,,,,,4.08,2.36,1.8,5.94,3.84,3,1.94,5.5,0.32,,,,,,
Total,,,,,,37.88,37.63,35.54,31.78,27.73,19.79,29.78,41.04,28.36,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Exact location of Belgrave House and gauge unknown,,,,,,,,,,,,,,,,,,,,
"Elevation seems rather low for this area, but censuses suggest Belgrave House was here",,,,,,,,,,,,,,,,,,,,
Gauge 6ft above ground level,,,,,,,,,,,,,,,,,,,,
