"PETERBOROUGH MILTON HOUSE",,,,,,,,,,,,
Grid ref,TL190988,Long,-0.245448,Lat,52.574010,,,,,,,
Station no,1140,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.12,0.90,0.80,1.50,1.78,0.93,3.51,1.06,0.83,0.85,,
February,4.03,1.05,1.25,0.66,2.58,0.65,1.69,1.01,1.22,0.31,,
March,0.51,2.30,1.03,2.05,1.37,1.94,1.49,1.09,2.22,3.35,,
April,0.58,2.21,1.32,1.55,0.81,1.21,0.50,2.87,2.27,1.32,,
May,1.59,1.53,2.57,3.44,2.37,0.88,1.73,3.30,1.37,1.15,,
June,2.31,2.25,1.90,2.49,0.50,2.44,3.07,1.15,1.08,2.52,,
July,1.18,2.41,0.99,2.61,2.36,0.88,0.63,1.88,1.98,2.88,,
August,3.36,1.87,3.29,3.20,2.32,3.51,1.74,2.13,2.28,1.81,,
September,0.56,1.08,1.53,2.83,1.88,2.31,1.14,0.51,2.37,2.08,,
October,1.94,1.73,1.70,5.41,0.79,1.34,3.66,2.94,1.15,3.50,,
November,2.19,1.09,1.74,1.79,1.18,2.55,3.56,2.36,0.75,0.61,,
December,3.68,3.61,1.17,0.89,1.40,0.59,1.63,2.63,1.32,3.76,,
Total,25.05,22.03,19.29,28.42,19.34,19.23,24.35,22.93,18.84,24.14,,
Calc annual,25.05,22.03,19.29,28.42,19.34,19.23,24.35,22.93,18.84,24.14,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
