SWALEDALE - SUMMER LODGE,,,,,,,,,,,
Grid ref,SD964956,Long,-2.057,Lat,54.356,Elevation,1075,ft,,,
Station no,RR6015,,,,,,,,,,
,,,,,,,,,,,
,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885
January,,3.10,9.46,8.45,1.42,1.24,1.22,5.62,,,4.64
February,2.03,8.98,6.31,2.33,4.05,5.63,6.59,4.96,,,5.75
March,2.20,9.37,5.06,3.57,4.49,2.52,5.94,7.16,,,2.90
April,2.24,3.33,4.29,3.28,2.57,3.17,2.25,2.05,,,3.84
May,2.71,1.31,3.11,5.68,1.68,2.86,3.87,1.64,,,4.76
June,3.59,2.94,2.95,3.72,5.53,4.44,3.76,6.17,,,3.28
July,4.04,3.10,6.26,1.78,5.28,7.91,4.87,7.02,,6.06,1.67
August,4.57,4.08,8.99,7.43,5.18,3.02,7.98,2.51,,2.36,2.45
September,5.79,6.00,4.72,5.55,3.79,5.33,5.42,2.35,,3.19,5.72
October,6.99,3.77,9.86,5.22,2.84,4.97,6.74,6.17,,2.78,7.39
November,8.71,5.40,9.56,4.73,2.46,8.75,7.18,8.95,,1.69,3.63
December,5.28,11.86,5.74,4.05,4.89,6.33,5.87,7.63,,10.13,3.52
Total,,63.24,76.31,55.79,44.18,56.17,61.69,62.23,,,49.55
,,,,,,,,,,,
TYRain_1870-1879_08_pt3/038,,,,,,,,,,,
TYRain_1880-1889_11_pt2/035,,,,,,,,,,,
,,,,,,,,,,,
# The reading for January 1875 is 'imperfect' and has been omitted.,,,,,,,,,,,
