NORTHAMPTON-CHAPEL-BRAMPTON,,,,,,,,,,,,,,,,,,,,
Grid ref,SP729664,Long,-0.93259544,Lat,52.290907,Elevation,314,ft,,,,,,,,,,,,
Station no,RR7054,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,0.87,3.63,2.37,2.03,2.76,2.07,3.62,1.44,1.87,0.33,0.9,1.81,2.87,2.34,1.67,,,,
February,,1.03,1.89,1.1,1.91,1.41,2.76,1.93,1.7,2.73,2.76,3.03,2.1,3.17,0.41,2.52,,,,
March,,1.28,2.06,2.13,0.79,0.96,2.98,1.97,0.58,0.84,1.39,1.58,1.42,1.02,1.36,0.97,,,,
April,,2.4,2.34,0.71,1.19,2.18,2.94,2.92,1.93,2.01,1.52,0.95,3.28,1.76,1.46,2.47,,,,
May,,0.6,1.98,2.62,1.05,1.69,0.99,2.11,5.02,2.85,1.23,0.93,1.93,1.66,1.49,2.57,,,,
June,,3.21,4.73,3.52,0.45,3.53,1.82,1,3.54,4.41,3.03,2.35,3.82,3.26,0.97,2.41,,,,
July,,3.91,4.37,1.64,2.41,6.94,1.12,3.66,0.66,3.23,8.29,3.7,4.23,3.83,3.53,0.17,,,,
August,,0.67,3.13,2.84,2.36,1.79,1.98,4.3,4.42,3.54,0.89,4.13,1.62,0.97,2.09,2.73,,,,
September,,4.55,1.75,1.31,3.93,3.05,5.66,1.89,2.78,2.87,3.96,1.59,2.69,4.9,1.54,4.02,,,,
October,,1.28,4,2.21,2.9,6.78,1.42,1.5,2.27,0.58,5.18,3.37,5.71,1.62,0.99,4.09,,,,
November,,0.86,3.92,2.11,2.34,4.41,3.08,2.73,3.14,1.1,2.02,3.15,3.72,3.06,1.3,3.4,,,,
December,,1.05,3.62,0.57,1.42,1.04,5.37,1.94,1.72,0.6,3.07,3.15,3.06,0.76,1.79,0.85,,,,
Total,,21.71,37.42,23.13,22.78,36.54,32.19,29.57,29.2,26.63,33.67,28.83,35.39,28.88,19.27,27.87,,,,
