BOXTED-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL827506,Long,0.667398,Lat,52.123513,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1339/8/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.47,1.5,2.11,1.66,4.06,1.48,2.01,1.43,1.54,3.67,1.09,1.36,2.14,2.19,1.08,1.49,2.26,3.38,1.63,2.26,2.37,2.49
February,,,,,,,,,0.77,1.55,2.2,1.19,0.88,1.29,1.5,1.89,1.5,1.53,0.96,2.58,3.34,0.85,1.06,2.12,2.16,0.83,1.84,3.41,0.13,1.13
March,,,,,,,,,2.01,1.7,3.32,1.77,0.71,0.55,1.09,1.35,4.28,0.77,0.81,0.5,3.56,3.18,0.4,2.3,1.44,0.59,1.66,0.78,1.54,1.48
April,,,,,,,,0.42,2.71,1.49,1.33,0.81,0.88,1.48,1.23,0.86,1.53,1.33,1.57,1.83,3.31,1.17,2.19,0.38,0.3,0.9,0.19,1.09,2,0.6
May,,,,,,,,1.49,0.94,1.37,1.89,2.86,0.82,1.12,2.55,0.97,0.76,2.94,1.9,1.62,2.56,1,1.57,1.86,2.32,0.68,0.91,2.09,0.22,0.54
June,,,,,,,,0.93,1.43,0.41,0.59,0.72,2.3,1.4,2.1,3.14,2.87,2.71,0.6,0.78,1.59,1.37,3.64,2.45,2.23,2.54,1.33,4.11,1.41,1.66
July,,,,,,,,1.33,2.4,3.8,2.04,2.19,1.33,,1.57,5.94,2.48,1.36,0.77,2.52,1.4,0.69,2.79,3.07,0.07,2.99,2.64,2.98,3.13,3.05
August,,,,,,,,1.86,2.5,0.3,4.31,2.08,1.04,1.6,2.11,3.98,0.15,4.24,1.51,1.96,2.5,4.38,2.18,4.15,1.5,4.43,3,2.94,0.69,3.17
September,,,,,,,,1.63,1.3,0.69,0.34,1.92,1.63,3.3,3.06,2.94,1.18,1.23,0.56,3.05,3.12,2.8,1.64,1.24,2.31,1.56,2.97,3.01,0.05,3.51
October,,,,,,,,2.5,,1.73,1.74,4.25,1.52,3.83,1.34,1.55,0.16,1.43,4.13,0.53,0.65,2.56,2.64,2.14,4.82,2.05,1.98,2,1.88,5.68
November,,,,,,,,2.26,3.81,5.98,2.09,1.63,2.01,3.64,0.62,3.02,1.43,1.52,1.94,3.45,3.68,4.21,1.38,3.45,0.69,0.91,1.99,1.43,2.23,3.07
December,,,,,,,,3.15,1.14,1.88,1.24,2.55,1.35,1.23,3,2.49,3.02,1.39,1.52,1.57,1.56,2.33,0.79,2.61,1.66,1.87,2.15,2.86,3.94,3.33
Total,,,,,,,,,,22.4,23.2,23.63,18.53,,22.18,29.56,20.9,24.12,17.36,21.75,29.41,26.73,21.36,27.26,21.76,22.73,22.29,28.96,19.59,29.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Oct estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Jul lestimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
