"HARROGATE (BILTON SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SE303579,Long,-1.539077,Lat,54.016225,,,,,,,
Station no,3364,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.42,2.77,0.51,1.86,1.90,4.18,1.75,2.45,3.03,5.16,,
February,3.08,0.47,2.05,2.58,1.91,1.36,2.63,4.22,0.12,2.03,,
March,4.55,2.16,0.55,1.88,1.96,1.19,1.85,1.85,1.35,2.48,,
April,1.25,1.29,2.56,0.33,0.79,2.53,0.44,0.71,3.80,1.38,,
May,6.22,1.81,1.44,3.44,2.04,0.76,1.24,3.56,0.61,0.88,,
June,1.20,1.75,1.47,1.83,1.80,3.25,1.78,3.46,1.15,0.96,,
July,2.23,1.49,2.17,1.08,1.04,4.84,3.78,3.49,1.49,3.75,,
August,5.59,2.96,3.58,5.78,1.07,6.27,5.13,4.33,0.76,2.61,,
September,2.15,3.62,2.11,1.92,1.18,3.09,3.37,3.65,0.12,2.85,,
October,1.00,3.40,2.01,3.98,1.86,1.28,3.00,2.03,2.32,6.78,,
November,6.96,1.49,2.62,5.30,2.33,0.52,1.75,0.71,4.22,5.36,,
December,2.96,1.98,1.17,2.52,4.18,2.90,2.92,4.52,5.54,3.18,,
Total,39.61,25.19,22.24,32.50,22.06,32.17,29.64,34.98,24.51,37.42,,
Calc annual,39.61,25.19,22.24,32.50,22.06,32.17,29.64,34.98,24.51,37.42,,
Difference,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
