"ST HELENS (VICTORIA PARK)",,,,,,,,,,,,
Grid ref,SJ508963,Long,-2.742492,Lat,53.461136,,,,,,,
Station no,2822,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.17,3.32,1.40,2.75,2.28,4.18,1.87,1.84,2.69,,,
February,1.79,1.11,0.98,2.17,2.02,0.46,1.63,4.13,0.27,,,
March,4.67,2.17,1.25,2.32,1.85,0.75,2.64,1.43,1.19,,,
April,1.71,2.62,2.88,0.89,2.13,3.09,0.52,0.89,2.47,,,
May,2.94,2.34,2.27,2.37,2.56,0.90,1.62,3.42,2.16,,,
June,0.86,2.48,1.75,3.02,2.69,1.88,1.42,4.39,2.53,,,
July,2.32,1.76,3.88,4.38,0.60,4.60,3.82,4.80,2.72,,,
August,4.43,2.79,3.47,4.59,1.91,9.21,4.81,3.49,0.95,,,
September,3.16,3.16,4.01,3.59,3.22,2.97,5.47,3.79,0.30,,,
October,0.89,4.08,2.10,6.08,2.19,2.47,3.59,3.19,3.03,,,
November,8.51,2.23,3.25,5.73,1.45,1.83,1.17,1.78,5.03,,,
December,6.39,2.88,1.06,3.68,4.20,2.15,2.76,3.50,5.43,,,
Total,40.84,30.94,28.30,41.57,27.10,34.49,31.32,36.65,28.77,,,
Calc annual,40.84,30.94,28.30,41.57,27.10,34.49,31.32,36.65,28.77,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,,
