"ST HELENS, VICTORIA PARK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ508963,Long,-2.742492,Lat,53.461136,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.96,3.81,4.42,4.44,2.62,2.72,1.84,4.94,3.98,7.66,2.12,5.21,4.08,4.24,1.6,2.58,,4.05,2.3,3.7,5,2.16,2.2,3.36,,4.35,1.89,3.96,2.29,6.26,1.88,1.32,3.17,3.32,1.4,2.75,2.28,4.18,1.87,1.84,2.69,
February,,,,,,,,,,1.27,3,0.17,3.15,3.8,0.97,4.99,3.11,1.72,2.36,1,0.3,3.25,0.12,3.31,0.33,,1.96,4.1,1,2.02,2.65,2.89,1.86,,1.12,2.98,4.89,0.71,2.03,1.25,4.26,1.79,1.11,0.98,2.17,2.02,0.46,1.63,4.13,0.27,
March,,,,,,,,,,3.42,3.38,2.69,1.59,1.8,1.21,1.27,1.62,3.82,1.71,1,3.19,0.36,2.13,2.17,2.05,,1.73,1.5,1.05,1.76,2.4,2.63,2.76,,0.56,1.13,0.87,4.09,0.98,2.03,1.24,4.67,2.17,1.25,2.32,1.85,0.75,2.64,1.43,1.19,
April,,,,,,,,,,1.59,4.26,1.59,2.26,3.02,1.81,1.87,0.92,2,0.95,0.97,2.65,3.07,2.63,1.04,2.18,,1.33,3.08,0.37,1.96,2.23,1.64,1.46,,2.28,2.12,0.88,2.56,1.4,2.25,2.98,1.71,2.62,2.88,0.89,2.13,3.09,0.52,0.89,2.47,
May,,,,,,,,,,2.1,4.24,1.73,1.39,3.08,5.38,3.79,3.95,1.25,1.48,2.31,1.26,2.34,4.83,1.62,2.55,,0.87,2.74,3.7,1.22,2.48,1.78,3.26,,2.32,3.93,2.13,2.63,1.35,3.21,1.02,2.94,2.34,2.27,2.37,2.56,0.9,1.62,3.42,2.16,
June,,,,,,,,,,1.42,6.04,0.24,2.03,0.61,2.48,0.09,1.61,4.41,5.53,2.28,1.89,4.21,0.27,2.64,1.65,,3.5,1.92,3.65,2.86,1,0.46,0.48,,2.7,4.45,3.57,2.12,3.92,0.94,2.33,0.86,2.48,1.75,3.02,2.69,1.88,1.42,4.39,2.53,
July,,,,,,,,,,1.67,7.14,1.41,4.2,3.32,4.49,3.61,3.41,3.24,2.07,2.68,2.91,2.34,3.42,2,1.33,,3.7,1.68,3.42,6.25,3.31,2.26,3.62,,2.97,2.99,3.32,2.62,2.77,3.05,2.96,2.32,1.76,3.88,4.38,0.6,4.6,3.82,4.8,2.72,
August,,,,,,,,,,4.81,2.35,4.93,3.03,4.03,6.13,4.31,4.04,7.14,5.21,4.21,6.64,6.72,1.67,1.5,4.55,,1.48,2.85,4.67,1.73,1.29,5.44,3.42,,2.68,2.56,4.74,0.18,4.24,2.23,6.64,4.43,2.79,3.47,4.59,1.91,9.21,4.81,3.49,0.95,
September,,,,,,,,,,2.31,2.69,1.23,4.29,3.85,4.46,4.29,3.5,5.82,1.41,1.95,2.91,3.11,3.74,1.1,2.34,,3.76,1.54,1.79,0.91,3.66,1.02,2.31,,4.96,2.43,4.09,2.73,1.68,1.39,5.14,3.16,3.16,4.01,3.59,3.22,2.97,5.47,3.79,0.3,
October,,,,,,,,,,2.52,1.33,2.2,0.74,4.26,4.03,4.29,3.76,3.26,4.48,5.61,5.29,2.16,7.56,4.34,5.53,,2.89,2.64,7.24,1.83,3.82,3.38,4.16,,3.9,4.94,1.01,0.61,2.51,3.84,2.55,0.89,4.08,2.1,6.08,2.19,2.47,3.59,3.19,3.03,
November,,,,,,,,,,2.51,1.3,2.41,2.41,5.09,1.64,3.49,4.93,4.94,5.64,6.3,5.44,6.53,2.67,1.53,2.16,,3.93,1.83,3.98,5.1,6.32,2.15,0.76,,5.68,0.33,4.78,3.64,1.91,4.72,4.35,8.51,2.23,3.25,5.73,1.45,1.83,1.17,1.78,5.03,
December,,,,,,,,,,5.98,2.83,4.81,5.17,5.6,3.66,2.62,1.15,2.02,2.75,5.84,4.36,1.62,2.09,0.73,5.58,,3.78,2.07,3.58,3.27,2.56,1.13,3.63,,2.98,2.6,2.82,3.05,2.74,4.84,2.72,6.39,2.88,1.06,3.68,4.2,2.15,2.76,3.5,5.43,
Total,,,,,,,,,,32.56,42.37,27.83,34.7,41.08,38.98,36.46,36.94,43.6,41.25,36.27,42.05,39.79,35.37,23.58,32.83,,32.98,28.25,38.15,33.91,33.88,26.98,31.08,,36.5,32.35,37.06,27.23,31.79,31.63,37.51,40.84,30.94,28.3,41.57,27.1,34.49,31.32,36.65,28.77,
