LANCASTER HALTON PARK observer A Grey,,,,,,,,,,,,,,,,,,,,
Grid ref,SD527658,Long,-2.7245593,Lat,54.085927,Elevation,240,ft,,,,,,,,,,,,
Station no,RR4272,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,3.4,1.5,0.3,0.5,2.9,6,,,,,,
February,,,,,,,,,1.7,2.9,3,5,3.1,3.1,,,,,,
March,,,,,,,,,1.7,1.8,2.6,4.1,3.5,1,,,,,,
April,,,,,,,,,1.5,1,1.5,1.5,3.4,1.9,,,,,,
May,,,,,,,,,3.3,2.05,1.9,4.2,2,1.2,,,,,,
June,,,,,,,,,3.5,3.8,3.4,3.9,4.7,3.8,,,,,,
July,,,,,,,,,0.45,5.3,4.7,6,5.1,1.8,,,,,,
August,,,,,,,,,5.4,5.1,2.9,6.1,3.7,2.9,,,,,,
September,,,,,,,,,5.5,3.4,3.3,1.5,1.4,4.4,,,,,,
October,,,,,,,,,4.4,2.5,1.2,2.1,3.7,5.2,,,,,,
November,,,,,,,,,3,1.1,5.8,5,6.5,5.1,,,,,,
December,,,,,,,,,1.2,2.1,5.9,3.7,3.3,3.4,,,,,,
Total,,,,,,,,,35.05,32.55,36.5,43.6,43.3,39.8,,,,,,
