SITTINGBOURNE-HIGHSTED-WW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ910607,Long,0.739238,Lat,51.313349,Elevation,138,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,314/5/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.14,3.64,2.29,4.57,1.18,2.18,1.49,2.31,3.61,1.32,2,2.98,2.31,0.94,1.79,3.66,4.46,1.69,3.07,2.09,2.59
February,,,,,,,,,1.21,1.84,2.61,0.74,1.61,0.83,1.55,2.66,1.65,1.75,1.22,4.49,6.66,0.96,0.97,2.27,2.07,0.89,3.53,2.3,0.02,1.81
March,,,,,,,,,1.49,3.66,1.97,2.63,0.3,0.2,1.43,1.68,4.77,0.87,0.8,0.71,3.53,3.89,0.19,1.97,1.6,0.44,0.79,1.37,1.7,1.72
April,,,,,,,,,2.23,1.23,2.63,1.37,1.35,1.2,0.95,2.56,1.61,1.71,1.5,2.16,2.27,0.98,1.74,0.22,0.17,1.12,0.19,1.68,3.07,0.58
May,,,,,,,,,1.93,0.62,2.51,4.56,3.22,0.43,2.53,2.56,0.88,1.81,1.86,1.99,2.17,0.9,2.43,1.69,4.35,0.68,1.66,2.05,1.07,2.3
June,,,,,,,,,1.59,1.64,1.62,0.59,1.13,1.43,0.47,1.42,2.26,3.27,0.76,1.06,1.67,1.19,2.86,4.16,2.11,2.05,1.97,4.36,1.15,1.55
July,,,,,,,,,2.17,3.47,2.7,2.67,3.04,3.06,2.81,2.14,2.44,1.62,0.42,2.32,2.05,0.71,2.52,2.45,2.45,3.93,3.91,1.09,2.07,2.56
August,,,,,,,,,1.77,0.2,3.62,2.06,1.37,3.45,2.9,4.92,0.01,2.66,0.52,2.38,4.72,3.1,1.6,4.15,2.95,3.59,2.51,3.44,1.03,4.04
September,,,,,,,,,0.72,0.74,0.27,2.73,2.05,2.85,0.83,2.11,1.37,1.59,1.81,2.11,3.84,4.04,3.08,1.43,2.18,1.91,2.35,3.34,0.25,2.66
October,,,,,,,,,9.05,4.15,1.78,3.74,2.68,4.65,2.22,1.73,0.58,1.53,6.86,0.2,1.08,2.23,2.13,2.18,4.53,1.37,1.01,3.66,2.4,5.99
November,,,,,,,,,5.28,7.05,4.14,2.52,1.3,4.56,0.55,4.61,1.13,1.5,3.37,5.45,3.81,4.38,1.36,6.28,0.74,0.81,3.02,1.64,4.39,5.52
December,,,,,,,,,1.59,1.87,1.95,2.35,2.48,1.97,4.46,2.62,2.78,3.42,1.56,2.33,2.41,2.57,0.66,1.78,1.92,3.12,2.54,3.21,5.21,3.31
Total,,,,,,,,,,28.61,29.44,28.25,25.1,25.81,22.88,30.5,21.79,25.34,22,27.2,37.19,27.26,20.48,30.37,28.73,24.37,25.17,31.21,24.45,34.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Jan estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
