DERWENT-DALE-BANKTOP-HEY,,,,,,,,,,,,,,,,,,,,
Grid ref,SK150935,Long,-1.7756684,Lat,53.438067,Elevation,1340,ft.,,,,,,,,,,,,
Station no,RR7346,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,6.15,2.49,4.85,3.39,4.17,2.51,5.71,5.91,5.79,,,,,
February,,,,,,,4.2,3.02,4.67,4.39,5.29,7.18,2.19,2.1,3.15,,,,,
March,,,,,,,4.82,5.64,3.94,4.9,1.12,4.04,6.81,6.62,7.96,,,,,
April,,,,,,,2.23,3.3,4.68,3.17,6.37,4.59,2.2,4.29,2.76,,,,,
May,,,,,,,3.89,4.26,3.47,2.78,4.94,1.55,3.72,3.52,3.77,,,,,
June,,,,,,,1.93,9.1,2.38,4.82,4.52,4.57,5.03,3.21,4.83,,,,,
July,,,,,,,3.97,3.62,5.56,6.41,5.47,0.82,8.12,1.39,4.59,,,,,
August,,,,,,,4.28,4.97,4.65,3.14,6.54,3.03,9.61,2.28,2.83,,,,,
September,,,,,,,1.95,0.64,3.83,3.63,0.61,3.33,3.54,3.29,4.39,,,,,
October,,,,,,,7.36,8.75,1.74,6.95,3.66,4.53,4.26,5.91,4.36,,,,,
November,,,,,,,8.22,4.76,4.52,2.75,4.99,6.08,4.3,6.6,8.03,,,,,
December,,,,,,,5.09,4.82,2.69,8.06,9.31,8.89,8.66,4.94,8.78,,,,,
Total,48.05,44.05,43.33,64.25,41.85,46.88,54.09,55.37,46.98,54.39,56.99,51.12,64.15,50.06,61.24,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Banktop Hey at the stated altitude.,,,,,,,,,,,,,,,,,,,,
NGR could be up to 500m NW or up to 500m E/SE,,,,,,,,,,,,,,,,,,,,
