DUNCHURCH LODGE GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP489713,Long,-1.2837247,Lat,52.337611,Elevation,380,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,2.83,1.6,2.47,1.64,3.07,1.95,3.96,1.13,3.27,1.57,1.53,1.51,1.85,0.78,2.85,2.9,3.02,4.89,2.46,3.38,2.6,4.12,2.07,2.02,1.87,2.2,4.58,,
February,,,2.54,3.63,0.58,2.42,2.73,2.86,1.78,0.36,0.53,3.17,0.3,3.34,0.53,2.2,1.89,3.37,0.95,1.08,2.45,2.02,0.82,1.39,1.31,2.1,1.97,1.9,1.28,,
March,,,1.6,1.67,0.62,0.63,0.54,2.06,2.23,0.35,1.82,0.2,1.44,2.89,1.39,0.39,1.34,2.75,0.3,1.53,2.23,2.56,1.75,0.96,0.36,0.8,1.12,6.2,0.71,,
April,,,2.61,1.91,3.37,1.89,2.93,2.01,1.46,1.37,1.92,3.84,3.76,1.14,2.2,3.39,2.86,3.61,0.05,1.69,2.67,1.26,1.05,0.75,1.96,0.95,2.18,1.96,1.4,,
May,,,0.91,1.2,4.63,2.55,2.91,0.85,0.95,1.84,2.49,3.2,5.94,1.69,0.45,1.32,1.1,3.31,1.55,1.24,1.69,2.11,3.05,2.68,0.95,3.01,2.16,1.31,3.39,,
June,,,0.89,0.46,1.9,0.03,1.6,3.72,2.95,1.21,1.37,2.77,0.65,2.64,0.98,4.45,3.97,1.17,1.12,1.96,0.44,2.21,0.25,4.03,2.34,3.04,2.51,1.22,2.16,,
July,,,4.76,3.01,2.85,3.37,1.98,2.69,1.47,2.44,3.89,2.76,2.84,1.87,4.37,0.59,5.73,2.51,2.66,4.74,3.05,4.19,1.71,1.02,2.27,2.16,2.18,2.52,2.07,,
August,,,4.58,2.13,2.47,2.27,1.75,3.86,2.45,1.25,2.19,4.23,2.27,0.66,1.69,1.15,0.49,1.34,4.26,5.32,0.03,4.1,2.44,1.62,2.57,3,4.45,0.27,3.94,,
September,,,2.09,3.01,3.16,3.19,1.79,4.63,0.74,1.1,3.83,2.85,3.54,1.56,1.85,3.77,2.57,1.55,2.24,0.37,0.91,0.32,0.95,1.42,3.22,1.53,3.55,1.52,3.71,,
October,,,0.84,3.83,3.53,3.16,2.3,1.67,3.75,2.69,2.1,0.61,3.18,2.64,1.47,3.71,1.64,2.01,2.77,5.71,3.38,2.61,2.9,2.28,2.82,3.74,0.86,0.26,2.63,,
November,,,1.14,1.94,2.48,1.43,4.21,2.78,3.03,5.98,2.97,2.44,2.12,1.24,1.69,5.3,2.34,1.48,2.44,3.82,6.41,2.84,2.04,1.56,3.96,0.28,5.4,1.7,1.56,,
December,,1.08,3.31,2.61,2.47,2.42,0.5,2.08,2.28,4.55,2.64,0.92,0.66,0.31,4.26,3.21,2.27,2.18,3.09,1.17,1.64,1.3,2.31,0.87,1.2,2.75,2.64,2.01,2.22,,
Total,,,28.1,27,30.53,25,26.31,31.16,27.05,24.27,29.02,28.56,28.23,21.49,22.73,30.26,29.05,28.18,24.45,33.52,27.36,28.9,21.87,22.7,25.03,25.38,30.89,23.07,29.65,,
