WHITSTABLE-WESTMEADS-REC-GROUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR112665,Long,1.032106,Lat,51.358295,Elevation,9,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,318/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.48,3.97,2.46,2.64,2.22,4.72,1.09,2.08,1.05,2,2.07,1.03,1.28,2.15,1.19,0.68,0.92,2.31,,1.14,,1.42,2.23
February,,,,,,,,0.81,1.36,1.21,1.4,0.65,1.15,1.42,1.01,1.67,1.94,0.9,0.7,3.06,4.99,0.93,1.27,1.94,1.17,,2.15,2.42,0.02,1.98
March,,,,,,,,0.62,1.39,2.84,0.54,1.6,0.23,0.22,1.05,1.71,3.28,0.91,0.74,0.26,2.36,3,0.18,2.08,1.11,0.39,0.7,1.25,1.01,1.34
April,,,,,,,,0.52,2.16,1.17,1.43,1.19,1.34,1.24,1.05,1.31,0.97,1.23,1,1.54,1.43,0.53,1.02,0.39,0.19,1.01,0.15,1.56,1.74,0.67
May,,,,,,,,1.95,1.9,0.61,1.18,3.13,2.48,0.24,2,2.06,0.53,1.42,1.63,1.58,2.64,0.67,1.04,1.8,3.44,0.29,0.65,1.77,2.07,2.05
June,,,,,,,,0.85,1.06,0.56,0.61,0.36,1.28,1.23,0.32,1.84,2.62,2.2,0.34,0.9,1.61,1.67,1.78,2.13,1.6,1.59,1.19,4.2,1.57,
July,,,,,,,,1.35,1.09,2.33,2.77,2.42,2.21,2.28,2.08,2.66,1.6,1.04,0.77,1.88,0.97,0.65,2.33,2.04,1.52,2.03,2.07,,1.78,
August,,,,,,,,3.13,2.39,0.38,3.47,1.8,1.19,1.32,3.82,3.71,0.24,2.48,0.69,2.27,2.47,2.49,1.31,2.61,1.73,3.05,1.17,2.66,1.02,4.7
September,,,,,,,,2.09,0.62,1.89,0.24,2.34,1.65,2.38,0.52,1.55,,1.35,2.56,1.38,4.79,3.67,2.62,1.2,0.81,1.35,2.35,2.78,0.25,3.21
October,,,,,,,2.77,2.34,8.76,3.3,1.04,3.08,1.69,3.95,1.46,1.42,0.18,0.91,5.61,0.14,1.13,1.44,1.92,1.36,4.23,0.98,0.8,3.15,2.08,6.36
November,,,,,,,1.12,2.01,3.91,5.77,3.05,2.34,1.4,3.73,1.34,3.22,1.25,1.21,2.59,4.42,2.85,3.49,0.7,2.78,0.38,0.52,3.31,1.45,3.86,3.62
December,,,,,,,4.49,2.19,1.25,1.23,1.21,2.15,1.46,1.5,2.63,2.29,2.3,1.97,1.09,1.68,2.13,1.71,0.85,0.99,,2.33,,3.08,4.14,2.97
Total,,,,,,,,20.34,29.86,23.75,19.58,23.28,20.8,20.6,19.36,24.49,,17.69,18.75,20.39,29.52,21.44,15.7,20.24,,,,,20.96,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Sep estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
