BASLOW-TITHEACRE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK256723,Long,-1.6178141,Lat,53.247106,Elevation,500,ft.,,,,,,,,,,,,
Station no,2675/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,2.2,2.94,1.99,3.84,6.19,4.15,7.81,3.47,4.26,3.09,5.13,,,,,,,
February,,,5.32,0.49,4.07,3.07,6.28,1.46,2.19,3.27,3.98,1.23,2.48,,,,,,,
March,,,2.6,3.36,1.19,2.68,3.54,0.5,2.7,2.19,5.05,2.19,1.05,,,,,,,
April,,,1.17,2.83,3.35,1.71,2.28,0.27,1.97,2.65,2.2,1.68,1.67,,,,,,,
May,,,1.8,1.45,0.43,1.37,2.89,2.43,1.54,1.7,2.71,5.02,3.15,,,,,,,
June,,,2.42,0.87,3.74,3.59,1.65,2.26,2.11,1.07,0.45,0.91,1.59,,,,,,,
July,,,2.13,2.31,1.83,5.99,3.21,3.4,5.43,2.95,4.18,2.27,1.64,,,,,,,
August,,,0.47,2.62,2.03,1.22,0.88,1.52,2.31,0.61,3.48,3.24,2.47,,,,,,,
September,,,1.4,1.88,4.81,3.54,1.24,2.56,1.7,1.88,0.48,2.01,3.29,,,,,,,
October,,,6.46,3.11,5.49,4.06,3.13,4.58,4.94,4.3,3.69,3.08,2.02,,,,,,,
November,,,2.12,2.19,6.1,3.78,1.36,4.68,5.24,7.42,3.73,1.38,2.68,,,,,,,
December,,,0.54,5.52,4.68,3.18,4.72,4.83,1.56,3.25,1.38,2.7,1.47,,,,,,,
Total,,,28.63,29.57,39.71,38.03,37.37,32.64,39.5,34.76,35.59,28.8,28.64,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Tithe Acre on Eaton Hill. Stated altitude is about 60 ft too high. gauge moved to School Lane in 1944,,,,,,,,,,,,,,,,,,,,
