"HAWKSHEAD (WRAYMIRES FISHERIES)",,,,,,,,,,,,
Grid ref,SD363974,Long,-2.981946,Lat,54.368113,,,,,,,
Station no,3028/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.65,6.23,4.79,6.48,5.66,6.66,9.35,8.90,3.87,10.23,,
February,6.44,1.99,2.87,5.80,2.37,1.14,6.56,9.17,2.73,7.63,,
March,5.71,4.76,1.12,5.05,2.57,2.70,5.74,2.58,5.16,2.18,,
April,3.39,4.70,4.11,2.54,5.17,1.43,1.72,2.01,5.46,6.16,,
May,1.94,3.94,3.24,4.11,3.27,3.92,4.44,6.19,1.79,3.64,,
June,1.34,4.77,5.56,6.82,5.46,2.86,2.90,4.73,5.65,3.46,,
July,4.70,3.06,8.19,6.39,2.57,6.46,4.71,4.79,5.03,8.51,,
August,7.87,8.14,7.78,8.60,3.29,10.91,7.13,5.32,0.95,4.85,,
September,8.98,5.05,11.18,11.91,4.67,6.11,8.15,7.47,1.44,5.36,,
October,1.21,5.69,3.43,14.50,5.61,7.18,8.92,9.03,8.23,5.54,,
November,12.72,3.61,13.40,12.96,3.60,2.98,2.90,2.19,8.69,13.19,,
December,14.31,7.77,5.17,10.75,11.84,8.86,7.99,6.59,14.40,7.80,,
Total,77.26,59.71,70.84,95.91,56.08,61.21,70.51,68.97,63.40,78.55,,
Calc annual,77.26,59.71,70.84,95.91,56.08,61.21,70.51,68.97,63.40,78.55,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
