LONG COMPTON (OLD QUARRY),,,,,,,,,,
Grid ref,SP285339,Long,-1.5862499,Lat,52.002812,Elevation,525,ft,,
Station no,2440/8,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,1.35,1.93,1.41,4.67,0.84,
February,,,,,1.63,1.89,0.92,1.15,1.17,
March,,,,,0.95,0.69,4.89,0.94,1.35,
April,,,,,0.9,1.63,2.13,1.94,1.52,
May,,,,,1.62,2.95,1.24,4.52,1.97,
June,,,,,2.36,2.72,1.21,2.15,0.23,
July,,,,,1.22,1.01,3.45,1.14,1.02,
August,,,,,1.71,3.74,0.4,3.53,0.72,
September,,,,,1.39,3.57,1.63,2.33,,
October,,,,,2.86,0.58,0.44,2.96,,
November,,,,,0.52,5.58,1.33,1.03,,
December,,,,,3.17,2.08,1.82,2.99,,
Total,,,,,19.68,28.37,20.87,29.35,,
,,,,,,,,,,
1945 arithmetic incorrect on record,,,,,,,,,,
1947 arithmetic incorrect on record,,,,,,,,,,
