BRISTOL-ASHLEY-DOWN (23 KENNINGTON),,,,,,,,,,
Grid ref,ST596757,Long,-2.5831324,Lat,51.478806,Elevation,166,ft,,
Station no,RR6983,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,3.37,0.46,4.68,2.04,,
February,,,,,3.75,0.58,2.18,1.63,,
March,,,,,1.89,4.27,2.54,0.94,,
April,,,,,2.06,2.9,0.95,3.48,,
May,,,,,2.74,0.09,2.47,2.4,,
June,,,,,1.76,4.04,2.53,2.99,,
July,,,,,3.67,0.74,1.33,2.25,,
August,,,,,3.24,3.43,2.35,1.99,,
September,,,,,1.28,1.22,0.7,0.58,,
October,,,,,1.07,1.86,5.53,5.3,,
November,,,,,1.95,2.86,2.62,3,,
December,,,,,2.1,1.09,1.41,5.71,,
Total,,,,,28.88,23.54,29.29,32.31,,
,,,,,,,,,,
