BRISTOL-ASHLEY-DOWN (TYNDALE HOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,ST593757,Long,-2.587452,Lat,51.478784,Elevation,180,ft,,,,,,,,,,,,
Station no,RR6983,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,2.75,4.53,1.58,3.98,0.69,1.89,,,,,,,,
February,,,,,,,4.86,2.34,1.72,3.77,4.49,,,,,,,,,
March,,,,,,1.41,4.21,2.45,2.19,1.02,2.44,,,,,,,,,
April,,,,,,2.1,3.09,3.14,2.98,2.98,1.91,,,,,,,,,
May,,,,,,3.11,0.29,2.24,6.2,3.33,1.29,,,,,,,,,
June,,,,,,3.9,1.21,1.3,3.08,5.2,,,,,,,,,,
July,,,,,,5.36,1.47,3.39,2.89,3.88,,,,,,,,,,
August,,,,,,1.43,6.13,5.39,4.39,7.46,0.53,,,,,,,,,
September,,,,,,4.06,5.41,2.9,2.43,3.9,3.93,,,,,,,,,
October,,,,,,7.01,3.2,3.13,6.14,1.63,5.9,,,,,,,,,
November,,,,,,5.98,4.48,5.62,3.22,0.66,3.09,,,,,,,,,
December,,,,,,1.39,7.07,2.02,2.05,1.25,5.17,,,,,,,,,
Total,,,,,,43.15,44.17,38.45,38.87,39.06,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1873 Jan-1875 Feb values removed as they relate to Cotham Park which are available on a separate TYR,,,,,,,,,,,,,,,,,,,,
