FRINDSBURY-STONEHOUSE (LODGE HILL),,,,,,,,,,
Grid ref,TQ757740,Long,0.52651111,Lat,51.437748,Elevation,247,ft,,
Station no,RR4510,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,0.49,1.32,0.52,
February,,,,,,,0.34,2.13,0.79,
March,,,,,,,2.06,2.65,0.89,
April,,,,,,,0.25,1.46,1.25,
May,,,,,,,0.28,0.98,2.27,
June,,,,,,,1.99,2.99,1.23,
July,,,,,,,1.11,1.01,0.38,
August,,,,,,,1.38,1.41,0.82,
September,,,,,,,4.2,2.64,0.2,
October,,,,,,,2.24,0.11,1.83,
November,,,,,,,0.97,1.08,1.71,
December,,,,,,,2.7,1.32,1.32,
Total,,,,,,,18.01,19.1,13.21,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1899 Gauge moved,,,,,,,,,,
