FRINDSBURY-STONEHOUSE (COOLING CASTLE),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ753759,Long,0.52170247,Lat,51.454939,Elevation,10,ft,,,,,,,,,,,,
Station no,RR4510,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,1.2,2.58,1.16,0.73,1,1.74,1.68,0.41,2.22,2.08,1.59,,,,
February,,,,,,2.18,0.78,0.39,1.57,2.09,1.15,0.1,1.38,2.48,1.35,0.51,,,,
March,,,,,,1.35,0.81,1.29,2.17,1.32,2.19,2.05,1.32,0.43,0.65,1.21,,,,
April,,,,,,1.51,1.96,1.59,1.43,1.81,2.17,0.63,1.56,0.05,1.71,1,,,,
May,,,,,,2.97,2.43,1.78,0.61,2.76,1.99,2.33,0.69,0.72,1.43,0.36,,,,
June,,,,,,1.04,0.2,0.95,2.66,1.91,2.08,1.62,4.47,0.83,2.32,0.37,,,,
July,,,,,,0.25,1.96,1.12,4.04,2.29,2.49,3.55,1.77,1.8,3.07,2.98,,,,
August,,,,,,1.25,1.27,1.44,3.27,2.01,2.24,2.5,3.01,1.26,2.86,1.88,,,,
September,,,,,,3.63,0.84,2.89,1.04,1.83,0.76,0.56,1.47,1.37,1.91,1.09,,,,
October,,,,,,3.06,1.64,1.39,1.13,5.14,1.31,5.2,3.97,3.57,3.19,2.43,,,,
November,,,,,,2.49,2.21,3.39,4.32,0.72,2.05,1.3,2.75,2.02,3.44,3.16,,,,
December,,,,,,1.33,2.89,1.3,1.14,1.2,0.13,2.37,1.52,1.55,1.27,2.79,,,,
Total,,,,,,22.26,19.57,18.69,24.11,24.08,20.3,23.89,24.32,18.3,25.28,19.37,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1896 Gauge moved,,,,,,,,,,,,,,,,,,,,
