GEORGEMAS JUNCTION HRS,,,,,,,,,,,,,,,,,,,,
Grid ref,ND 15542 59257,Long,-3.451383,Lat,58.513248,Elevation,167,ft,,,,,,,,,,,,
Station no,RR1996,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,1.89,3.8,3.8,1.95,,3.05,,,,,,,
February,,,,,,,,3.56,2.16,1.97,2.23,3.18,1.97,,,,,,,
March,,,,,,,,2.47,3.58,2.87,2.28,2.11,2.03,,,,,,,
April,,,,,,,,1.75,0.56,3.18,1.63,3.63,1.19,,,,,,,
May,,,,,,,,3.23,2.59,1.76,2.63,1.92,1.32,,,,,,,
June,,,,,,,,3.89,1.04,1.12,1.91,2.38,5.22,,,,,,,
July,,,,,,,,,2.71,4.96,4.62,,3.51,,,,,,,
August,,,,,,,,,1.02,7.64,1.5,,4.25,,,,,,,
September,,,,,,,,,5.69,1.79,3.7,,3.63,,,,,,,
October,,,,,,,,,2.54,2.57,6.07,,2.48,,,,,,,
November,,,,,,,,,4.97,3.08,4.19,,,,,,,,,
December,,,,,,,,,3.7,1.83,3.26,,,,,,,,,
Total,,,,,,,,,34.36,36.57,35.97,,,,,,,,,
