"DAER (DAERHEAD)",,,,,,,,,,,,
Grid ref,NS964030,Long,-3.633736,Lat,55.310143,,,,,,,
Station no,5185/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.30,10.70,4.62,7.70,7.20,6.40,11.76,10.79,3.88,7.94,,
February,7.27,2.90,3.22,6.44,2.61,2.42,5.93,8.29,3.51,10.60,,
March,5.03,6.14,1.34,5.82,2.95,5.43,7.66,3.08,7.10,3.77,,
April,5.36,4.46,4.02,2.49,5.02,2.18,5.82,3.54,6.86,8.65,,
May,2.97,3.38,5.28,7.21,6.09,5.50,5.01,5.25,2.34,3.46,,
June,3.44,5.38,3.37,8.53,4.96,6.93,2.89,5.42,4.96,5.12,,
July,5.28,5.57,11.09,8.22,3.49,7.51,8.00,7.47,7.13,6.45,,
August,11.45,5.47,6.11,7.34,2.12,9.30,7.33,6.21,1.89,6.87,,
September,9.60,2.87,9.07,11.18,7.02,8.41,6.15,8.66,2.58,6.60,,
October,1.15,8.01,6.95,17.03,6.22,5.51,11.40,6.83,8.78,6.18,,
November,17.14,4.25,10.71,14.56,5.02,3.68,4.08,4.20,14.05,14.61,,
December,12.55,7.07,8.34,10.45,10.90,12.39,10.04,7.14,15.17,7.98,,
Total,90.54,66.20,74.12,106.97,63.60,75.66,86.07,76.88,78.25,88.23,,
Calc annual,90.54,66.20,74.12,106.97,63.60,75.66,86.07,76.88,78.25,88.23,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
