ROCHES POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IW8278660651,Long,-8.2502632,Lat,51.798234,Elevation,25,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,8.07,3.74,7.7,3.05,2.03,5.25,7.9,7.46,4.68,2.84,4.77,5.19,3.94,8.21,2.81,3.59,5.99,6.06,3.91,1.5,4,3.1,7.8,3.84,4.11,2.01,6.98,4.28,2.36,4.82,1.2,2.52,1.58,2.91,1.48,4.54,6.55,2.7,2.2,2.01,2.32,3.5,4.03,5.17,2.72,4.97,1.71,6.62,4.47,7.77,3.78,4.61,3.63,7.05,2.62,7.41,3.81,3.58,0.82,6.69,7.26,4.78,4.97,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,2.47,3.92,6.87,5.74,5.32,4.62,8.78,8.34,6.16,4.4,1.78,0.26,3.27,3.96,0.68,4.42,5.6,2.49,1.76,1.89,3.78,1.51,5.59,4.82,1.56,4.6,2.77,5.86,1.42,2.71,2.01,1.14,2.15,4.62,2.57,4.36,2.05,6.19,5.9,3.93,2.16,4.8,3.23,1.59,1.57,3.98,6.57,1.97,3.49,3.71,2.76,3.36,6.76,1.65,3.69,1.02,2.19,0.31,2.95,4.89,5.33,2.38,3.59,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,3.85,1.61,2.42,4.94,3.51,2.53,2.1,5.11,2.34,6.16,1.97,4.08,2.22,4.01,1.2,1.43,0.12,1.84,4.22,2.6,6.41,1.18,1.71,0.63,2.63,1.38,4.41,3.34,6.3,1.29,1.33,3.95,4.07,3.08,3.54,4.35,4.28,4.85,1.1,2.49,3.23,3.39,2.89,4.21,3.21,1.81,3.76,1.72,0.2,1.85,3.59,6.06,1.02,7.88,7.22,4.13,3.3,4.15,1.73,3.08,4.56,1.09,2.6,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,10.22,4.69,4.38,3.96,1.35,4.89,3.32,2.35,2.56,3.29,0.96,2.47,3.84,1.74,2.89,0.73,1.57,3.26,2.34,0.27,5.19,5.14,3.83,2.24,4.32,3.42,1.75,1.23,2.91,0.86,3,2.85,6.27,2.12,2.83,0.44,4.57,1.45,1.4,3.34,0.83,1.54,1.1,4.76,0.52,3,4.18,2.52,4.1,2.32,1.66,4.87,0.97,2.67,3.57,4.62,1.88,2.92,3.58,1.94,3.69,0.02,1.91,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,4.23,7.02,2.75,2.35,2.18,2.35,2.61,1.65,2.46,3.83,0.86,3.64,4.1,5.12,3.99,4.55,2.54,0.37,0.52,0.03,0.99,3.39,4.65,2.96,1.4,1.36,1.94,2.12,1.38,3.42,4.04,2.23,1.74,1.51,1.36,1.88,4.18,1.22,2.4,3.03,4.33,2.52,3.53,3.45,1.91,2.41,1.03,4.31,5.43,2.06,2.05,2.34,4.38,2.76,6.19,4.92,4.67,2.39,0.65,1.2,2.01,4.18,1.2,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,4.41,8.05,9.17,2.53,5.83,4.06,3.96,0.52,0.51,0.82,0.55,5.43,2.01,4.1,4.18,2.86,1.87,2.3,2.71,1.66,3.08,2.06,2.18,4.73,2.13,2.41,4.59,2.61,2.79,1.34,3.33,1.14,0.96,4.29,1.64,4.41,2.97,0.8,2.76,2.72,2.17,1.1,0.71,2.56,0.04,1.07,0.3,3.88,0.52,1.69,2.65,6.09,2.71,1.71,5.21,1.78,2.11,1.7,5.2,1.88,1.67,2.93,1.5,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,2.86,2.16,4.96,4.99,3.1,6.62,3.76,2.77,0.89,4.5,1.94,7.85,1.82,2.95,1.77,2.98,2.65,2.14,3.64,3.35,1.51,1.36,1.91,1.47,0.72,2.36,3.55,3.29,1.97,2.93,2.87,2.93,1.78,2.02,2.65,5.84,0.32,2.66,5.9,1.57,2.64,4.37,1.02,5.47,3.54,3.36,1.97,5.02,2.38,3.48,3.86,1.41,3.74,2.69,4.48,3.18,2.85,1.68,0.73,5.39,4.73,4.78,5.28,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,7.89,6.43,4.85,1.59,5.26,2.59,4.66,0.92,3.55,3.53,2.79,4.39,5.98,2.01,5.36,10.73,5.22,3.65,5.25,1.37,4.43,4.87,2.68,3.53,3.12,2.32,4.05,2.95,6.55,2.09,3.35,2.82,0.79,5.8,2.47,3.41,1.94,3.8,3.9,2.71,6.89,2.44,4.48,2.48,4.81,5.6,6.2,2.69,3.6,2.49,5.18,6.5,3.5,5.48,3.49,2.53,1.32,3.87,1.84,1.03,2.56,3.19,2.1,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,3.77,3.08,6.29,2.5,3.27,2.2,5.39,2.89,6.04,6.27,2.6,1.16,1.91,2.11,3.34,3.19,0.7,1.67,1.41,7.02,2.48,3.3,0.75,1,7.4,2.15,2.75,4.36,1.14,1.08,1.61,5,0.95,1.3,4.65,1.35,5.83,2.95,2.6,0.85,1.42,6.07,1.83,2.46,2,2.43,3.03,5.69,2.79,0.46,3.36,2.6,1.55,4.41,1.85,3.26,1.29,6.32,7.49,3.24,3.4,3.62,1.97,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,6.45,3.6,0.97,3.46,5.66,6.19,3.46,1.07,3.12,7.07,2.67,3.14,4.98,1.03,6.89,2.72,2.99,7.16,2.67,3,4.51,7.36,2.02,5.6,3.76,2.01,5.77,2.72,0.84,3.76,5.41,3.9,5.33,4.14,3.96,4.08,6.59,1.77,5.7,7.32,3.23,3.5,0.83,6.13,2.52,2.3,4.6,4.19,4.66,2.26,3.13,7.44,3.77,6.25,2.29,5.07,2.31,3.05,2.56,1.37,3.48,4.8,3.84,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
