BRUNTINGTHORPE,,,,,,,,,,,,,,,,,,,,
Grid ref,SP6018289776,Long,-1.1148409,Lat,52.502572,Elevation,440,ft,,,,,,,,,,,,
Station no,RR6618,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,1.87,2.21,2.43,1.98,3.72,1.43,-999,0.41,0.61,2.2,,,,,,,
February,,,,1.33,2.09,1.38,2.96,1.62,1.62,-999,2.8,3.06,0.93,,,,,,,
March,,,,1.92,0.93,0.7,2.7,2.33,0.63,0.69,0.86,1.53,2.54,,,,,,,
April,,,,0.56,1.46,1.46,2.82,2.86,1.8,2.92,2.16,1.15,,,,,,,,
May,,,,2.76,2.01,1.77,0.53,1.46,5.01,2.3,1.55,1.1,,,,,,,,
June,,,,3.61,0.87,4.16,2.56,1.86,2.74,5.37,-999,2.26,,,,,,,,
July,,,,1.48,0.83,6.41,0.99,3.28,1.86,3.1,-999,2.2,,,,,,,,
August,,,,2.88,1.76,1.8,2.56,3.46,4.59,4.81,1.88,4.77,,,,,,,,
September,,,,1.45,3.52,3.13,4.75,1.76,1.76,3.08,5.01,2.83,,,,,,,,
October,,,,2.19,2.77,5.97,1.83,1.63,2.64,1.2,6.08,3.3,,,,,,,,
November,,,,1.82,2.63,3.96,3.66,2.99,3.12,0.89,2.13,2.66,,,,,,,,
December,,,,0.49,2.27,0.73,4.65,1.75,1.87,1.22,2.72,2.75,,,,,,,,
Total,,,,22.36,23.35,33.9,31.99,28.72,29.07,32.2,36.12,28.22,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1879 Jan Feb -999 (6.62),,,,,,,,,,,,,,,,,,,,
1880 Jun Jul -999 (10.52),,,,,,,,,,,,,,,,,,,,
