HATHERSAGE-BAMFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK205833,Long,-1.6935357,Lat,53.346201,Elevation,530,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.24,4.87,3.09,,,,,,1.76,0.35,0.38,4.24,5.2,5.95,,,1.7,1.15,2,5.23,1.79,1.59,,,,,,,
February,,1.65,3.74,2.04,,,,,0.98,3.22,4.01,6.05,3.43,3.27,3.25,,,0.95,,2.25,1.75,1.97,1.63,,,,,,,
March,,2.31,4.08,3.5,,,,,2.8,1.94,3.11,5.24,2.02,1.02,2.7,,,1.85,5.03,4.27,3.4,2.77,0.24,,,,,,,
April,,3.29,4.65,0.72,,,,,2.44,3.87,2.05,1.33,4.52,2.63,1.73,,,1,2.3,4.34,1.2,1.29,0.24,,,,,,,
May,,2.04,2.92,3.7,,,,,5.46,2.9,2.86,2.68,2,1.32,2.09,,,2.25,1.08,2.72,1.76,4.39,2.69,,,,,,,
June,,4.55,5.68,5.76,,,,,2.9,4.75,3.39,2.09,5.37,3.8,2.21,,,,1.9,0.64,2.9,3.9,2.75,,,,,,,
July,,2.27,6.79,2.79,,,,,0.81,3.75,5.78,3.04,5.23,4.71,3.08,,,,4.19,3.22,3.75,2.7,2.72,,,,,,,
August,,1.84,3.39,4.04,,,,,5.54,6.23,2.39,4.41,2.89,1.14,2.84,,,3.06,3.8,3.41,3.5,3.93,3.77,,,,,,,
September,,5.71,5.49,2.1,,,,,2.96,3.26,6.91,2.6,2.18,6.7,2.13,3.79,,1.43,1.1,2.46,1.8,2.95,1.61,,,,,,,
October,3.12,2.82,6.14,3.73,,,,,4.27,2.35,10.06,6.22,5.04,4.52,2.62,9.91,,1.9,1.37,6.85,1.27,4.97,7.61,,,,,,,
November,1.67,2.91,6.41,3.64,,,,,5.55,3.07,4.02,4.56,7.09,4,1.57,3.11,,3.1,7.79,-999,3.24,3.81,2.67,,,,,,,
December,2.74,3.68,4.73,1.18,,,,,3.05,2.96,6.01,4.29,5.94,3.66,4.37,1.94,,3.95,2.67,-999,2.24,6.17,2.71,,,,,,,
Total,,34.31,58.89,36.29,26.89,33.27,,,,40.06,50.94,42.89,49.95,41.97,34.54,,38.11,,,34.9,32.04,40.64,30.23,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is the Mill at Bamford managed by the observer/owner, W C Moore. Altitudes match",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886 readings have been deleted because note says monthly readings are incorrect. Annual total assumed to be reliable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893 reading is 15.26 but have been deleted because noted as unreliable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
