LELANT-TREGILLY-(VEN-AYR),,,,,,,,,
Grid ref,SW544370,Long,-5.44104,Lat,50.18201,Elevation,60,ft,
Station no,1870/9,,,,,,,,
,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949
January,,,,,,6.76,6.19,8.81,1.76
February,,,,,,2.36,1.3,1.99,1.41
March,,,,,,2.34,10.65,2.18,1.78
April,,,,,,1.83,3.61,2.94,2.36
May,,,,,,3.87,3.13,2.84,3.15
June,,,,,,2.99,3.1,2.6,0.8
July,,,,,,2.39,2.28,1.84,1.77
August,,,,,,5.32,1.22,4.97,1.81
September,,,,,,5.59,1.33,1.84,2.33
October,,,,,,3.74,2.09,6.12,9.19
November,,,,,,7.28,3.69,2.48,5.27
December,,,,,,5.36,4.11,7.06,3.95
Total,,,,,,49.83,42.7,45.67,35.58
,,,,,,,,,
Ven Ayr Fore St,,,,,,,,,
1949 Not printed Big,,,,,,,,,
1950 Jan Gauge moved 0.5 miles NE to Tregilly ,,,,,,,,,
