CRANFIELD SCHOOL,,,,,,,,,,,,
Grid ref,SP955432,Long,-0.607865,Lat,52.078933,,,,,,,
Station no,RR7361,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.04,1.01,1.41,1.06,,
February,,,,,,,1.64,0.75,0.91,0.40,,
March,,,,,,,1.66,1.06,3.21,2.05,,
April,,,,,,,0.56,2.17,2.91,1.70,,
May,,,,,,,1.79,4.05,1.80,1.37,,
June,,,,,,,3.35,1.78,2.05,4.34,,
July,,,,,,,0.62,2.26,3.09,2.81,,
August,,,,,,,,2.06,1.60,2.32,,
September,,,,,,,,1.12,1.90,2.90,,
October,,,,,,,4.02,3.67,2.02,3.89,,
November,,,,,,,4.52,1.99,0.90,0.91,,
December,,,,,,,2.45,3.66,1.45,2.79,,
Total,,,,,,,,25.58,23.25,26.54,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,22.65,25.58,23.25,26.54,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
