CRANFIELD-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SP957420,Long,-0.60528407,Lat,52.068113,Elevation,365,ft,,,,,,,,,,,,
Station no,RR7361,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,2.04,1.01,1.41,1.06,1.51,0.92,3.18,2.97,0.85,,,,,
February,,,,,,,1.64,0.75,0.91,0.4,2.64,1.01,1.56,0.79,1.35,,,,,
March,,,,,,,1.66,1.06,3.21,2.05,0.81,1.82,2.65,2.3,3.41,,,,,
April,,,,,,,0.56,2.17,2.91,1.7,1.69,1.12,0.06,2.36,0.72,,,,,
May,,,,,,,1.79,4.05,1.8,1.37,2.3,1.37,1.7,1.85,0.83,,,,,
June,,,,,,,3.35,1.78,2.05,4.34,1.28,2.06,3.23,1.03,2.29,,,,,
July,,,,,,,0.62,2.26,3.09,2.81,2.13,0.55,2.71,0.96,1.39,,,,,
August,,,,,,,,2.06,1.6,2.32,2.17,0.89,7.24,0.66,1.16,,,,,
September,,,,,,,,1.12,1.9,2.9,0.52,1.67,1.17,2.1,1.36,,,,,
October,,,,,,,4.02,3.67,2.02,3.89,2.54,1.68,2.53,2.72,3.65,,,,,
November,,,,,,,4.52,1.99,0.9,0.91,2.88,2.75,1.7,1.6,2.17,,,,,
December,,,,,,,2.45,3.66,1.45,2.79,5.12,3.94,2.93,1.09,6.04,,,,,
Total,,,,,,,,25.58,23.25,26.54,25.59,19.78,30.66,20.43,25.22,,,,,
