FELLFOOT NR WINDERMERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD381868,Long,-2.952043,Lat,54.273084,Elevation,185,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819
January,,,,,,,,,5.8,5.71,5.61,6.83,,,,,,,,,,,,,,,,,,,4.87,,,,,,,,,
February,,,,,,,,,4.06,8.59,2.56,5.13,,,,,,,,,,,,,,,,,,,3.11,,,,,,,,,
March,,,,,,,,,4.34,3.38,1.38,3.21,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
April,,,,,,,,,3.95,4.11,0.93,4.76,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,
May,,,,,,,,,1.25,6.25,3.78,3.73,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,
June,,,,,,,,,2.96,4.93,4.5,1.29,,,,,,,,,,,,,,,,,,,1.92,,,,,,,,,
July,,,,,,,,,6.77,5.92,5.75,,,,,,,,,,,,,,,,,,,,4.55,,,,,,,,,
August,,,,,,,,,3.24,1.38,7.43,,,,,,,,,,,,,,,,,,,,4.75,,,,,,,,,
September,,,,,,,,,4.44,4.18,6.82,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,
October,,,,,,,,,2.61,7.77,5.37,,,,,,,,,,,,,,,,,,,,5.43,,,,,,,,,
November,,,,,,,,,2.15,5.18,5.76,,,,,,,,,,,,,,,,,,,,4.86,,,,,,,,,
December,,,,,,,,,0.49,9.12,8.59,,,,,,,,,,,,,,,,,,,,8.28,,,,,,,,,
Total,,,,,,,,,42.06,66.52,58.48,,,,,,,,,,,,,,,,,,,,51.27,,,,,,,,,
