EXMOUTH-LITTLEHAM,,,,,,,,,,,,,,,,,,,,
Grid ref,SY026813,Long,-3.37812,Lat,50.62325,Elevation,155,ft,,,,,,,,,,,,
Station no,1759/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,2.03,0.56,6.01,5.23,3.44,5.87,2,5.25,4.26,8.37,2.01,2.67,3.44,3.03,5.93,,
February,,,,0.1,3.06,3.11,6.1,0.84,1.53,3.85,3.44,0.26,1.65,0.45,1.89,3.37,1.76,1,,
March,,,,2.43,1.33,4.41,5.4,0.19,1.56,2.87,3.01,3.1,1.29,0.18,0.83,1.39,8.49,1.25,,
April,,,,2.78,3.41,2.49,2.81,0.2,2.4,3.39,1.75,1.96,0.89,2.05,0.62,2.29,2.72,2.29,,
May,,,,0.85,2.08,0.75,2.96,2.41,0.69,1.75,2.47,5.81,2.83,0.28,3.69,7.9,3.92,2.6,,
June,,,,1.67,3.8,2.33,0.93,1.32,3.03,0.7,2.19,0.7,1.07,1.78,2.96,2.26,2.56,1.78,,
July,,,,0.65,0.37,5.11,2.47,3.56,5.37,2.31,0.82,1.78,2.33,2.64,2.07,1.14,1.51,1.02,,
August,,,,2.57,2.36,0.16,1.81,4.52,4.9,0.05,4.02,3.53,2.6,3.46,2.28,3.7,1.26,3.06,,
September,,,2.63,2.62,2.64,3.1,2.55,1.26,1.71,1.4,0.94,2.86,2.96,1.6,2.23,4.1,2.02,0.97,,
October,,,2.9,2.5,3.79,0.88,3.82,2.9,5.03,3.93,1.69,4.28,4.1,4.02,3.75,2.06,1.07,3.64,,
November,,,1.41,1.75,6.13,2.66,2.05,5.71,5,6.39,2.41,0.9,2.56,5.25,1.2,5.28,2.07,1.7,,
December,,,2.81,9.11,4.78,3.59,3.12,3.97,1.79,2.77,2.68,4.42,3.56,2.92,5.21,3.93,2.18,6.08,,
Total,,,,29.06,34.31,34.6,39.25,30.32,38.88,31.41,30.67,33.86,34.21,26.64,29.4,40.86,32.59,31.32,,
,,,,,,,,,,,,,,,,,,,,
Thatched Cottage Littleham Road,,,,,,,,,,,,,,,,,,,,
