ST-BRIAVELS-ST-BRIAVELS-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO5592504444,Long,-2.6396704,Lat,51.73696,Elevation,750,ft,,,,,,,,,,,,,
Station no,2123,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,4.42,4.97,2.33,5.23,4.62,7.52,5.1,7.97,1.74,8.51,3.51,6.6,4.07,4.53,0.93,5.93,5.88,4.95,,
February,,0.41,4.63,8.49,0.8,5.57,3.13,4.68,4.72,1.39,1.01,2.79,0.16,3.73,0.58,3.99,3.37,7.04,1.74,,
March,,3.06,4.84,2.47,2.17,0.55,0.55,4.22,5.74,0.43,3.81,0.83,2.87,4.83,3.22,0.85,5.65,5.27,0.21,,
April,,1.08,3.55,3.08,4.44,2.48,3.25,1.51,1.56,1.1,3.31,4.09,4.46,1.55,2.64,7.35,3.73,2.86,0.12,,
May,,2.76,0.82,1.88,6,5.05,3.01,1.01,0.78,3.51,1.37,4.51,8.69,3.11,2.15,1.13,0.97,3.39,3.87,,
June,,0.31,0.74,0.77,3.64,0,2.53,4.43,2.95,2.63,1.21,6.33,3.85,1.88,1.6,6.88,5.05,1.62,1.81,,
July,,1.54,6.21,3.4,5.78,3.17,3.41,7.39,2.66,2.32,4.48,4.32,3.3,1.68,1.47,0.61,10.57,4.54,4.74,,
August,1.56,2.58,4,3.54,6.25,4.78,3.49,5.51,3.92,2.96,4.65,7.55,1.84,0.83,4.12,1.73,0.6,1.07,4.7,,
September,3.47,2.42,2.99,3.15,6.69,5.44,0.81,6.5,1.06,0.52,5.61,2.71,4.79,3.01,3.87,6.88,3.63,2.01,,,
October,3.66,1.66,1.96,8.24,7.19,5.29,4.3,5.42,8.45,6.68,4.73,0.55,3.36,4.78,3.79,6.11,2.17,4.34,5.24,,
November,2.3,2.34,2.44,3.44,4.11,2.65,11.31,4.45,6.17,14.96,5.41,9.61,2.59,0.94,1.87,8.21,4.3,2.57,,,
December,5.44,2.77,7.03,4.44,8.35,4.03,0.65,4.13,4.19,11.57,5.61,2.48,3,1.08,11.48,5.26,7.03,3.52,,,
Total,,25.35,44.18,45.23,60.65,43.63,43.96,54.35,50.17,49.81,49.71,49.28,45.51,31.49,41.32,49.93,53,44.11,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1934 Total asjusted to compensate for 3 figure rounding of May & Dec,,,,,,,,,,,,,,,,,,,,,
1938 Sep Nov Dec estimated,,,,,,,,,,,,,,,,,,,,,
