"ANDERBY (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TF545760,Long,0.314686,Lat,53.258511,,,,,,,
Station no,2565/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.35,1.12,2.50,1.42,3.41,0.88,2.57,,,,
February,,0.57,2.33,3.43,1.51,1.00,2.39,2.52,,,,
March,,2.26,1.06,2.71,2.19,0.69,1.52,1.56,,,,
April,,1.30,3.63,0.49,0.91,1.03,0.37,1.03,,,,
May,,1.67,2.71,3.29,3.11,0.54,1.66,,,,,
June,,1.86,5.11,2.74,3.32,2.37,1.48,,,,,
July,,0.47,1.41,2.32,0.90,2.77,2.68,,,,,
August,,1.62,2.46,4.67,1.32,3.22,2.50,,,,,
September,,-999.00,1.64,2.21,1.09,1.29,3.52,,,,,
October,,3.90,3.00,3.03,1.60,0.95,1.19,,,,,
November,,-999.00,1.84,3.49,1.09,0.77,2.01,,,,,
December,,2.78,1.46,1.73,1.59,1.27,1.91,,,,,
Total,,23.96,27.71,32.61,20.04,19.31,22.11,,,,,
Calc annual,0.00,18.78,27.77,32.61,20.05,19.31,22.11,7.68,0.00,0.00,,
Difference,NaN,5.18,-0.06,0.00,-0.01,0.00,-0.00,NaN,NaN,NaN,,
