BROMLEY COMMON ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ417674,Long,0.0355,Lat,51.383,Elevation,240,ft,,,,,,,,,,,,,,,,,,,,,,
Station no ,RR1151 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January ,,,,,,3.19,4.94,2.12,4.44,3.6,1.51,3.36,5.83,4.01,1.39,3.82,1.29,5.67,1.17,2.85,0.39,1.45,1.44,,,,,,,
February ,,,,,,2.47,4.56,1.33,1.66,3.15,1.5,1.22,1.11,2.33,2.3,1.01,1.87,2.02,1.61,3.4,2.98,2.98,1.9,,,,,,,
March ,,,,,,1.29,1.92,2.99,1.2,2.09,2.21,1.74,2.91,1.98,0.64,0.84,3.5,2.77,1.53,0.73,0.67,1.8,1.16,,,,,,,
April ,,,,,,0.51,2.66,2.58,1.9,1.46,0.4,3.24,1.41,1.05,2.25,1.8,2.21,2.95,4.94,2.89,2.04,0.55,2.96,,,,,,,
May ,,,,,,3.57,1.83,1.79,0.82,3.29,0.97,0.83,4.77,1.54,1.37,1.08,1.13,2.59,3.75,3.59,0.42,0.84,1.22,,,,,,,
June ,,,,,,1.51,2.67,1.75,0.31,1.36,0.29,2.64,2.02,2.44,2.31,3.06,1.41,0.84,2.47,4.44,3.43,1.91,2.35,,,,,,,
July ,,,,,,2.6,2.27,5.17,1.64,0.56,1.35,3.29,3.27,2.65,0.67,4.94,0.39,3.03,1.31,3.77,3.04,1.58,,,,,,,,
August ,,,,,,4.36,2.41,2.35,2.45,1,1.61,0.92,3.26,2.82,2.39,2.34,2.92,3.07,5.74,4.44,0.57,3.97,,,,,,,,
September ,,,,,,0.1,5.15,1.76,3.35,3.65,2.35,5.23,1.51,2.2,2.8,2.5,3.51,1.33,1.14,3.38,4.34,2.53,,,,,,,,
October ,,,,,,6.95,1.5,1.91,2.21,1.95,3.81,1.24,5.13,3.68,4.85,4.33,0.98,2.12,2.39,0.65,8.15,2.53,,,,,,,,
November ,,,,,,3,1.45,0.71,1.51,2.42,2.03,0.62,4.08,2.78,3.15,3.59,2.94,5.86,4.61,1.86,2.93,4.18,,,,,,,,
December ,,,,,,1.57,1.91,1.7,4.93,3.35,3.01,1.67,5.32,0.49,2.16,1.43,7.74,2.02,1.53,1.04,3.25,3.05,,,,,,,,
Total ,,,,,,31.12,33.27,26.16,26.42,27.88,21.04,26,40.62,27.97,26.28,30.74,29.89,34.27,32.19,33.04,32.21,27.37,,,,,,,,
