"BROMLEY COMMON ELMFIELD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1151,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.34,1.57,2.28,1.00,,,,,,,,
February,0.53,0.30,1.92,3.29,,,,,,,,
March,1.13,1.42,1.38,2.13,,,,,,,,
April,2.91,1.64,2.84,1.84,,,,,,,,
May,0.66,1.20,1.53,2.53,,,,,,,,
June,1.50,0.33,1.45,0.49,,,,,,,,
July,3.48,0.13,2.55,2.33,,,,,,,,
August,1.38,1.03,1.99,2.76,,,,,,,,
September,3.63,1.47,1.93,1.22,,,,,,,,
October,0.97,0.60,1.18,5.51,,,,,,,,
November,0.89,2.37,1.42,1.58,,,,,,,,
December,1.91,1.17,4.45,2.01,,,,,,,,
Total,21.33,13.23,24.92,26.69,,,,,,,,
Calc annual,21.33,13.23,24.92,26.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
